"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Autauga County",54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108,"01001"
"Baldwin County",182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426,"01003"
"Barbour County",27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49,"01005"
"Bibb County",22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22,"01007"
"Blount County",57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117,"01009"
"Bullock County",10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27,"01011"
"Butler County",20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19,"01013"
"Calhoun County",118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271,"01015"
"Chambers County",34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58,"01017"
"Cherokee County",25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40,"01019"
"Chilton County",43643,40223,35395,4171,134,125,11,34,353,3420,1318,59,21,5,44,1820,153,"01021"
"Choctaw County",13859,13786,7700,5990,18,12,0,10,56,73,31,22,0,0,0,18,2,"01023"
"Clarke County",25833,25562,13943,11280,96,74,4,9,156,271,127,56,7,3,0,58,20,"01025"
"Clay County",13932,13533,11186,2048,55,23,0,5,216,399,194,18,0,1,0,167,19,"01027"
"Cleburne County",14972,14665,13956,494,50,23,1,4,137,307,123,4,1,0,9,147,23,"01029"
"Coffee County",49948,46768,36134,8257,602,629,51,52,1043,3180,1196,102,43,15,49,1571,204,"01031"
"Colbert County",54428,53335,43334,8702,262,224,14,35,764,1093,455,66,5,5,6,475,81,"01033"
"Conecuh County",13228,13067,6764,6122,44,17,0,6,114,161,24,27,0,0,1,91,18,"01035"
"Coosa County",11539,11309,7604,3556,40,14,0,7,88,230,44,26,0,2,15,128,15,"01037"
"Covington County",37765,37282,31751,4685,196,148,1,13,488,483,271,31,18,7,0,122,34,"01039"
"Crenshaw County",13906,13702,10020,3241,56,189,1,2,193,204,77,13,1,0,7,97,9,"01041"
"Cullman County",80406,76952,74568,821,397,339,18,41,768,3454,1565,35,11,4,0,1718,121,"01043"
"Dale County",50251,47430,35705,9546,337,527,42,66,1207,2821,1531,133,34,7,2,816,298,"01045"
"Dallas County",43820,43511,12676,30314,78,144,6,15,278,309,93,109,7,5,5,69,21,"01047"
"DeKalb County",71109,61419,57997,1029,865,166,35,41,1286,9690,2090,49,104,37,112,7010,288,"01049"
"Elmore County",79303,77174,59449,15814,269,514,50,74,1004,2129,1006,86,16,4,13,864,140,"01051"
"Escambia County",38319,37601,23508,12162,1274,86,12,20,539,718,276,58,14,6,0,323,41,"01053"
"Etowah County",104430,100983,82789,15716,372,657,30,87,1332,3447,1034,80,76,15,141,1888,213,"01055"
"Fayette County",17241,17037,14832,1958,47,37,0,11,152,204,78,11,5,0,0,91,19,"01057"
"Franklin County",31704,26994,25249,1211,121,51,2,32,328,4710,1071,17,94,12,8,3306,202,"01059"
"Geneva County",26790,25870,22692,2523,197,64,8,15,371,920,435,16,27,3,0,394,45,"01061"
"Greene County",9045,8976,1562,7349,11,15,0,0,39,69,13,21,6,0,0,25,4,"01063"
"Hale County",15760,15620,6213,9265,23,35,1,7,76,140,53,36,2,0,0,37,12,"01065"
"Henry County",17302,16913,11731,4915,54,45,2,5,161,389,134,27,3,9,0,201,15,"01067"
"Houston County",101547,98552,69731,26038,393,806,43,96,1445,2995,1322,138,53,14,6,1148,314,"01069"
"Jackson County",53227,51888,47937,1771,680,165,29,24,1282,1339,411,10,39,20,19,744,96,"01071"
"Jefferson County",658466,632978,340213,275511,1431,9085,154,531,6053,25488,8953,1014,309,73,90,13827,1222,"01073"
"Lamar County",14564,14384,12542,1635,24,4,1,4,174,180,84,8,0,0,1,78,9,"01075"
"Lauderdale County",92709,90627,79228,9190,323,675,23,40,1148,2082,884,67,15,10,11,937,158,"01077"
"Lawrence County",34339,33765,26420,3917,1928,41,5,25,1429,574,227,21,25,1,1,250,49,"01079"
"Lee County",140247,135676,97900,31674,397,3615,66,164,1860,4571,2106,227,48,43,39,1709,399,"01081"
"Limestone County",82782,78191,65112,10350,487,911,26,83,1222,4591,1394,79,60,13,16,2783,246,"01083"
"Lowndes County",11299,11212,2841,8283,25,14,0,4,45,87,18,27,0,0,0,27,15,"01085"
"Macon County",21452,21220,3267,17631,28,76,2,12,204,232,52,98,1,0,0,57,24,"01087"
"Madison County",334811,319407,221445,79517,2335,8167,321,471,7151,15404,6835,859,216,98,44,6248,1104,"01089"
"Marengo County",21027,20675,9607,10838,31,53,9,1,136,352,144,34,3,0,4,139,28,"01091"
"Marion County",30776,30144,28509,1178,94,53,7,24,279,632,282,6,7,1,7,267,62,"01093"
"Marshall County",93019,81781,78060,1389,570,475,63,63,1161,11238,3404,105,136,3,40,7147,403,"01095"
"Mobile County",412992,403056,243904,142272,3541,7507,157,428,5247,9936,4743,720,140,54,47,3457,775,"01097"
"Monroe County",23068,22848,12621,9581,256,67,4,8,311,220,97,33,4,0,5,58,23,"01099"
"Montgomery County",229363,221049,88099,124928,520,4792,84,187,2439,8314,2557,549,69,29,87,4556,467,"01101"
"Morgan County",119490,110334,92585,14059,928,665,69,80,1948,9156,2819,126,114,26,38,5617,416,"01103"
"Perry County",10591,10477,3142,7244,17,30,5,4,35,114,62,32,0,0,0,12,8,"01105"
"Pickens County",19746,19433,11027,8169,28,32,1,18,158,313,83,42,0,4,0,110,74,"01107"
"Pike County",32899,32169,18887,11990,185,645,6,14,442,730,257,64,7,9,18,327,48,"01109"
"Randolph County",22913,22264,17280,4604,84,54,5,8,229,649,252,3,0,1,0,361,32,"01111"
"Russell County",52947,51001,27591,21926,189,223,112,55,905,1946,858,209,30,13,1,636,199,"01113"
"St. Clair County",83593,81877,72947,7098,252,512,41,64,963,1716,794,52,29,6,5,670,160,"01115"
"Shelby County",195085,183518,156371,20606,458,3699,62,250,2072,11567,5572,126,95,27,12,5123,612,"01117"
"Sumter County",13763,13677,3304,10283,11,33,1,0,45,86,22,33,0,0,3,26,2,"01119"
"Talladega County",82291,80620,53079,25953,230,329,6,60,963,1671,660,102,34,10,0,727,138,"01121"
"Tallapoosa County",41616,40574,28838,11050,119,197,2,22,346,1042,249,33,2,0,6,691,61,"01123"
"Tuscaloosa County",194656,188707,126611,57401,455,2293,76,136,1735,5949,2393,210,71,13,41,2857,364,"01125"
"Walker County",67023,65716,60587,3885,233,190,26,36,759,1307,559,43,18,5,10,603,69,"01127"
"Washington County",17581,17430,11455,4360,1394,18,9,8,186,151,53,20,17,2,3,35,21,"01129"
"Wilcox County",11670,11598,3110,8420,14,4,1,2,47,72,16,45,0,0,0,7,4,"01131"
"Winston County",24484,23845,23237,115,139,59,8,4,283,639,172,0,24,1,20,352,70,"01133"
"Aleutians East Borough",3141,2756,425,212,869,1113,19,1,117,385,235,7,7,17,0,83,36,"02013"
"Aleutians West Census Area",5561,4835,1745,318,841,1575,102,5,249,726,259,14,16,31,1,343,62,"02016"
"Anchorage Municipality",291826,269765,182814,15308,22047,23208,5776,562,20050,22061,9684,918,1083,372,125,6284,3595,"02020"
"Bethel Census Area",17013,16832,1854,65,14056,158,18,6,675,181,40,0,53,2,9,39,38,"02050"
"Bristol Bay Borough",997,973,476,0,330,8,3,0,156,24,5,0,4,0,0,4,11,"02060"
"Denali Borough",1826,1784,1614,10,64,19,1,5,71,42,23,0,1,0,0,9,9,"02068"
"Dillingham Census Area",4847,4746,855,11,3431,32,6,1,410,101,23,0,39,0,0,11,28,"02070"
"Fairbanks North Star Borough",97581,91930,72259,4154,6669,2512,375,191,5770,5651,2916,269,210,79,21,1255,901,"02090"
"Haines Borough",2508,2461,2062,9,227,13,0,13,137,47,24,1,3,1,0,8,10,"02100"
"Hoonah-Angoon Census Area",2150,2073,993,8,850,12,1,0,209,77,21,0,40,0,0,6,10,"02105"
"Juneau City and Borough",31275,29687,21065,259,3534,1879,213,40,2697,1588,749,20,158,40,5,346,270,"02110"
"Kenai Peninsula Borough",55400,53759,45879,248,3970,614,111,79,2858,1641,978,21,111,17,8,257,249,"02122"
"Ketchikan Gateway Borough",13477,12939,8918,76,1831,936,24,14,1140,538,258,2,79,7,3,79,110,"02130"
"Kodiak Island Borough",13592,12596,7137,85,1759,2620,86,14,895,996,385,7,38,40,1,383,142,"02150"
"Lake and Peninsula Borough",1631,1588,362,9,1044,6,5,0,162,43,18,0,17,0,0,6,2,"02164"
"Matanuska-Susitna Borough",88995,85694,73676,817,4735,1075,214,121,5056,3301,1864,39,166,21,7,519,685,"02170"
"Nome Census Area",9492,9377,1511,27,7175,88,9,8,559,115,41,0,24,8,0,14,28,"02180"
"North Slope Borough",9430,9181,3059,91,5046,414,103,7,461,249,88,3,54,11,1,60,32,"02185"
"Northwest Arctic Borough",7523,7465,830,35,6102,42,12,3,441,58,16,2,19,0,0,14,7,"02188"
