"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Autauga County",54571,42154,9595,467,1310,1045,0.772461563834271,0.1758259881622107,0.008557658829781385,0.024005424126367483,0.01914936504736948,0.4418158563234724,0.4532938818208179,0.4582938279882661,0.3713721621916435,"01001"
"Baldwin County",182265,152200,16966,1340,7992,3767,0.8350478698598195,0.09308424546676543,0.007351932625572656,0.04384824294296766,0.02066770910487477,0.3882988721091073,0.386196168709019,0.39296784355679965,0.2916265047663007,"01003"
"Barbour County",27457,12837,12820,107,1387,306,0.4675310485486397,0.4669118986050916,0.003897002585861529,0.0505153512765415,0.011144698983865681,0.5800861120053159,0.6364068375142921,0.6373085112687223,0.5607168059248107,"01005"
"Bibb County",22915,17191,5024,22,406,272,0.7502072878027493,0.21924503600261838,0.0009600698232598735,0.017717652192886756,0.011869954178485707,0.42194274556423633,0.4487118755830412,0.4518970285038642,0.3886649067703606,"01007"
"Blount County",57322,50952,724,115,4626,905,0.8888733819475942,0.01263040368444925,0.0020062105299884863,0.08070199923240641,0.015788004605561564,0.27401484623038297,0.26374125429045064,0.2708755652989744,0.20297848511759098,"01009"
"Bullock County",10914,2392,7637,20,777,88,0.21916804104819498,0.6997434487813817,0.001832508704416346,0.07119296316657504,0.008063038299431922,0.5101470309826847,0.5629718428103176,0.5642253203537894,0.4571876669914273,"01011"
"Butler County",20947,11324,9047,174,191,211,0.5406024729078149,0.4318995560223421,0.00830667876068172,0.009118250823506946,0.01007304148565427,0.5120159003143947,0.5594287175873339,0.5610230127217027,0.5209581302187738,"01013"
"Calhoun County",118572,87285,24177,830,3893,2387,0.7361350065782816,0.2039014269810748,0.006999966265222818,0.03283237189218365,0.020131228283237188,0.48169478052525105,0.4981707517373822,0.5025164144294083,0.414997229641102,"01015"
"Chambers County",34215,19893,13206,166,536,414,0.5814116615519509,0.3859710653222271,0.004851673242729797,0.01566564372351308,0.012099956159579131,0.5139170933218179,0.5561621234668152,0.5581078393850186,0.5125714564798348,"01017"
"Cherokee County",25989,23929,1206,49,320,485,0.9207356958713302,0.046404247951056216,0.0018854130593712725,0.012312901612220555,0.01866174150602178,0.22292347336327492,0.19552537876524975,0.20521173846176075,0.14958900119588003,"01019"
