"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Autauga County",54571,42154,9595,467,1310,1045,"01001"
"Baldwin County",182265,152200,16966,1340,7992,3767,"01003"
"Barbour County",27457,12837,12820,107,1387,306,"01005"
"Bibb County",22915,17191,5024,22,406,272,"01007"
"Blount County",57322,50952,724,115,4626,905,"01009"
"Bullock County",10914,2392,7637,20,777,88,"01011"
"Butler County",20947,11324,9047,174,191,211,"01013"
"Calhoun County",118572,87285,24177,830,3893,2387,"01015"
"Chambers County",34215,19893,13206,166,536,414,"01017"
"Cherokee County",25989,23929,1206,49,320,485,"01019"
"Chilton County",43643,35395,4171,125,3420,532,"01021"
"Choctaw County",13859,7700,5990,12,73,84,"01023"
"Clarke County",25833,13943,11280,74,271,265,"01025"
"Clay County",13932,11186,2048,23,399,276,"01027"
"Cleburne County",14972,13956,494,23,307,192,"01029"
"Coffee County",49948,36134,8257,629,3180,1748,"01031"
"Colbert County",54428,43334,8702,224,1093,1075,"01033"
"Conecuh County",13228,6764,6122,17,161,164,"01035"
"Coosa County",11539,7604,3556,14,230,135,"01037"
"Covington County",37765,31751,4685,148,483,698,"01039"
"Crenshaw County",13906,10020,3241,189,204,252,"01041"
"Cullman County",80406,74568,821,339,3454,1224,"01043"
"Dale County",50251,35705,9546,527,2821,1652,"01045"
"Dallas County",43820,12676,30314,144,309,377,"01047"
"DeKalb County",71109,57997,1029,166,9690,2227,"01049"
"Elmore County",79303,59449,15814,514,2129,1397,"01051"
"Escambia County",38319,23508,12162,86,718,1845,"01053"
"Etowah County",104430,82789,15716,657,3447,1821,"01055"
"Fayette County",17241,14832,1958,37,204,210,"01057"
"Franklin County",31704,25249,1211,51,4710,483,"01059"
"Geneva County",26790,22692,2523,64,920,591,"01061"
"Greene County",9045,1562,7349,15,69,50,"01063"
"Hale County",15760,6213,9265,35,140,107,"01065"
"Henry County",17302,11731,4915,45,389,222,"01067"
"Houston County",101547,69731,26038,806,2995,1977,"01069"
"Jackson County",53227,47937,1771,165,1339,2015,"01071"
"Jefferson County",658466,340213,275511,9085,25488,8169,"01073"
"Lamar County",14564,12542,1635,4,180,203,"01075"
"Lauderdale County",92709,79228,9190,675,2082,1534,"01077"
"Lawrence County",34339,26420,3917,41,574,3387,"01079"
"Lee County",140247,97900,31674,3615,4571,2487,"01081"
"Limestone County",82782,65112,10350,911,4591,1818,"01083"
"Lowndes County",11299,2841,8283,14,87,74,"01085"
"Macon County",21452,3267,17631,76,232,246,"01087"
"Madison County",334811,221445,79517,8167,15404,10278,"01089"
"Marengo County",21027,9607,10838,53,352,177,"01091"
"Marion County",30776,28509,1178,53,632,404,"01093"
"Marshall County",93019,78060,1389,475,11238,1857,"01095"
"Mobile County",412992,243904,142272,7507,9936,9373,"01097"
"Monroe County",23068,12621,9581,67,220,579,"01099"
"Montgomery County",229363,88099,124928,4792,8314,3230,"01101"
"Morgan County",119490,92585,14059,665,9156,3025,"01103"
"Perry County",10591,3142,7244,30,114,61,"01105"
"Pickens County",19746,11027,8169,32,313,205,"01107"
"Pike County",32899,18887,11990,645,730,647,"01109"
"Randolph County",22913,17280,4604,54,649,326,"01111"
"Russell County",52947,27591,21926,223,1946,1261,"01113"
"St. Clair County",83593,72947,7098,512,1716,1320,"01115"
"Shelby County",195085,156371,20606,3699,11567,2842,"01117"
"Sumter County",13763,3304,10283,33,86,57,"01119"
"Talladega County",82291,53079,25953,329,1671,1259,"01121"
"Tallapoosa County",41616,28838,11050,197,1042,489,"01123"
"Tuscaloosa County",194656,126611,57401,2293,5949,2402,"01125"
"Walker County",67023,60587,3885,190,1307,1054,"01127"
"Washington County",17581,11455,4360,18,151,1597,"01129"
"Wilcox County",11670,3110,8420,4,72,64,"01131"
"Winston County",24484,23237,115,59,639,434,"01133"
"Aleutians East Borough",3141,425,212,1113,385,1006,"02013"
"Aleutians West Census Area",5561,1745,318,1575,726,1197,"02016"
"Anchorage Municipality",291826,182814,15308,23208,22061,48435,"02020"
"Bethel Census Area",17013,1854,65,158,181,14755,"02050"
"Bristol Bay Borough",997,476,0,8,24,489,"02060"
"Denali Borough",1826,1614,10,19,42,141,"02068"
"Dillingham Census Area",4847,855,11,32,101,3848,"02070"
"Fairbanks North Star Borough",97581,72259,4154,2512,5651,13005,"02090"
"Haines Borough",2508,2062,9,13,47,377,"02100"
"Hoonah-Angoon Census Area",2150,993,8,12,77,1060,"02105"
"Juneau City and Borough",31275,21065,259,1879,1588,6484,"02110"
"Kenai Peninsula Borough",55400,45879,248,614,1641,7018,"02122"
"Ketchikan Gateway Borough",13477,8918,76,936,538,3009,"02130"
"Kodiak Island Borough",13592,7137,85,2620,996,2754,"02150"
"Lake and Peninsula Borough",1631,362,9,6,43,1211,"02164"
"Matanuska-Susitna Borough",88995,73676,817,1075,3301,10126,"02170"
"Nome Census Area",9492,1511,27,88,115,7751,"02180"
"North Slope Borough",9430,3059,91,414,249,5617,"02185"
"Northwest Arctic Borough",7523,830,35,42,58,6558,"02188"
"Petersburg Census Area",3815,2649,15,96,130,925,"02195"
"Prince of Wales-Hyder Census Area",5559,2756,17,21,127,2638,"02198"
"Sitka City and Borough",8881,5641,43,509,437,2251,"02220"
"Skagway Municipality",968,872,0,5,21,70,"02230"
"Southeast Fairbanks Census Area",7029,5535,71,64,234,1125,"02240"
"Valdez-Cordova Census Area",9636,6949,45,350,349,1943,"02261"
"Wade Hampton Census Area",7459,199,1,17,7,7235,"02270"
"Wrangell City and Borough",2369,1699,4,32,37,597,"02275"
"Yakutat City and Borough",662,268,2,27,17,348,"02282"
"Yukon-Koyukuk Census Area",5588,1218,9,14,66,4281,"02290"
"Apache County",71518,14568,157,185,4113,52495,"04001"
"Cochise County",131346,76805,4936,2410,42543,4652,"04003"
"Coconino County",134421,74231,1495,1787,18166,38742,"04005"
"Gila County",53597,35298,195,256,9588,8260,"04007"
"Graham County",37220,19483,633,193,11320,5591,"04009"
"Greenlee County",8437,4054,79,44,4040,220,"04011"
"La Paz County",20489,12854,115,90,4806,2624,"04012"
"Maricopa County",3817117,2240055,177490,128301,1128741,142530,"04013"
"Mohave County",200186,159378,1715,2016,29569,7508,"04015"
"Navajo County",107449,47181,842,542,11571,47313,"04017"
"Pima County",980263,541700,31075,24592,338802,44094,"04019"
"Pinal County",375770,220486,16007,6114,106977,26186,"04021"
"Santa Cruz County",47420,7564,89,235,39273,259,"04023"
