"NAME","P0050001","FIPS"
"Autauga County",54571,"01001"
"Baldwin County",182265,"01003"
"Barbour County",27457,"01005"
"Bibb County",22915,"01007"
"Blount County",57322,"01009"
"Bullock County",10914,"01011"
"Butler County",20947,"01013"
"Calhoun County",118572,"01015"
"Chambers County",34215,"01017"
"Cherokee County",25989,"01019"
"Chilton County",43643,"01021"
"Choctaw County",13859,"01023"
"Clarke County",25833,"01025"
"Clay County",13932,"01027"
"Cleburne County",14972,"01029"
"Coffee County",49948,"01031"
"Colbert County",54428,"01033"
"Conecuh County",13228,"01035"
"Coosa County",11539,"01037"
"Covington County",37765,"01039"
"Crenshaw County",13906,"01041"
"Cullman County",80406,"01043"
"Dale County",50251,"01045"
"Dallas County",43820,"01047"
"DeKalb County",71109,"01049"
"Elmore County",79303,"01051"
"Escambia County",38319,"01053"
"Etowah County",104430,"01055"
"Fayette County",17241,"01057"
"Franklin County",31704,"01059"
"Geneva County",26790,"01061"
"Greene County",9045,"01063"
"Hale County",15760,"01065"
"Henry County",17302,"01067"
"Houston County",101547,"01069"
"Jackson County",53227,"01071"
"Jefferson County",658466,"01073"
"Lamar County",14564,"01075"
"Lauderdale County",92709,"01077"
"Lawrence County",34339,"01079"
"Lee County",140247,"01081"
"Limestone County",82782,"01083"
"Lowndes County",11299,"01085"
"Macon County",21452,"01087"
"Madison County",334811,"01089"
"Marengo County",21027,"01091"
"Marion County",30776,"01093"
"Marshall County",93019,"01095"
"Mobile County",412992,"01097"
"Monroe County",23068,"01099"
"Montgomery County",229363,"01101"
"Morgan County",119490,"01103"
"Perry County",10591,"01105"
"Pickens County",19746,"01107"
"Pike County",32899,"01109"
"Randolph County",22913,"01111"
"Russell County",52947,"01113"
"St. Clair County",83593,"01115"
"Shelby County",195085,"01117"
"Sumter County",13763,"01119"
"Talladega County",82291,"01121"
"Tallapoosa County",41616,"01123"
"Tuscaloosa County",194656,"01125"
"Walker County",67023,"01127"
"Washington County",17581,"01129"
"Wilcox County",11670,"01131"
"Winston County",24484,"01133"
"Aleutians East Borough",3141,"02013"
"Aleutians West Census Area",5561,"02016"
"Anchorage Municipality",291826,"02020"
"Bethel Census Area",17013,"02050"
"Bristol Bay Borough",997,"02060"
"Denali Borough",1826,"02068"
"Dillingham Census Area",4847,"02070"
"Fairbanks North Star Borough",97581,"02090"
"Haines Borough",2508,"02100"
"Hoonah-Angoon Census Area",2150,"02105"
"Juneau City and Borough",31275,"02110"
"Kenai Peninsula Borough",55400,"02122"
"Ketchikan Gateway Borough",13477,"02130"
"Kodiak Island Borough",13592,"02150"
"Lake and Peninsula Borough",1631,"02164"
"Matanuska-Susitna Borough",88995,"02170"
"Nome Census Area",9492,"02180"
"North Slope Borough",9430,"02185"
"Northwest Arctic Borough",7523,"02188"
"Petersburg Census Area",3815,"02195"
"Prince of Wales-Hyder Census Area",5559,"02198"
"Sitka City and Borough",8881,"02220"
"Skagway Municipality",968,"02230"
"Southeast Fairbanks Census Area",7029,"02240"
"Valdez-Cordova Census Area",9636,"02261"
"Wade Hampton Census Area",7459,"02270"
"Wrangell City and Borough",2369,"02275"
"Yakutat City and Borough",662,"02282"
"Yukon-Koyukuk Census Area",5588,"02290"
"Apache County",71518,"04001"
"Cochise County",131346,"04003"
"Coconino County",134421,"04005"
"Gila County",53597,"04007"
"Graham County",37220,"04009"
"Greenlee County",8437,"04011"
"La Paz County",20489,"04012"
"Maricopa County",3817117,"04013"
"Mohave County",200186,"04015"
"Navajo County",107449,"04017"
"Pima County",980263,"04019"
"Pinal County",375770,"04021"
"Santa Cruz County",47420,"04023"
