"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Albany-Corvallis-Lebanon, OR CSA",202251,187657,173131,1171,1761,5482,349,282,5481,14594,7044,122,354,58,26,5591,1399,"102"
"Albany-Schenectady-Amsterdam, NY CSA",1168485,1120463,993600,69637,2078,29366,285,4098,21399,48022,24405,5073,674,240,73,12958,4599,"104"
"Ames-Boone, IA CSA",115848,112648,103006,2327,206,5456,20,129,1504,3200,1847,75,38,15,3,942,280,"112"
"Appleton-Oshkosh-Neenah, WI CSA",392660,378827,355200,4774,3839,10030,121,208,4655,13833,6670,183,382,52,18,5413,1115,"118"
"Asheville-Brevard, NC CSA",457948,429884,396497,20255,1502,3807,460,520,6843,28064,13626,336,341,61,38,12033,1629,"120"
"Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part); Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part)",5618431,5015946,2895372,1740955,11431,257305,2179,14161,94543,602485,270300,28668,7771,1864,746,255135,38001,"122"
"Austin-Round Rock-Marble Falls, TX CSA",1759039,1212074,971004,121210,5027,81178,1073,2913,29669,546965,317153,6953,8715,1458,291,186397,25998,"126"
"Baton Rouge-Pierre Part, LA CSA",825905,798050,480750,291672,2054,14278,189,962,8145,27855,14488,1380,273,125,90,9653,1846,"132"
"Beckley-Oak Hill, WV CSA",124898,123500,112009,8487,271,804,28,80,1821,1398,817,103,15,5,0,292,166,"138"
"Bend-Prineville, OR CSA",178711,165530,158228,554,1470,1508,194,153,3423,13181,6587,49,281,65,27,5180,992,"140"
"Birmingham-Hoover-Cullman, AL CSA",1208453,1156469,808224,317840,3254,14087,337,1011,11716,51984,21067,1389,505,122,187,26238,2476,"142"
"Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part)",7559060,6885143,5872738,407031,13970,380411,1797,67784,141412,673917,299647,45703,9000,2584,891,260566,55526,"148"
"Brownsville-Harlingen-Raymondville, TX CSA",428354,51310,45662,1581,407,2620,77,200,763,377044,326756,1047,1344,209,43,41753,5892,"154"
"Buffalo-Niagara-Cattaraugus, NY CSA",1215826,1168056,976912,135393,9695,25952,234,1244,18626,47770,24644,4413,941,188,62,13596,3926,"160"
"Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part); Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part)",135466,133032,116809,12666,346,1062,33,82,2034,2434,1058,79,26,11,6,1015,239,"164"
"Carbondale-Marion-Herrin, IL CSA",126575,122871,106465,11002,382,2447,36,167,2372,3704,1952,127,91,24,4,1187,319,"166"
"Charlotte-Gastonia-Salisbury, NC-SC CSA (part); Charlotte-Gastonia-Salisbury, NC-SC CSA (part)",2402623,2194346,1565003,516992,8303,61937,901,4363,36847,208277,83990,7519,2446,584,285,100927,12526,"172"
"Chattanooga-Cleveland-Athens, TN-GA CSA (part); Chattanooga-Cleveland-Athens, TN-GA CSA (part)",696197,671128,571296,79003,1863,8402,274,689,9601,25069,10937,631,509,108,173,10746,1965,"174"
"Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part)",9686021,7712681,5378402,1642477,13210,528457,2020,13226,134889,1973340,987252,32704,23907,5979,996,822278,100224,"176"
"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part)",2172191,2116512,1778271,254722,3365,40329,1176,3285,35364,55679,27979,2115,836,306,238,19404,4801,"178"
"Claremont-Lebanon, NH-VT CSA (part); Claremont-Lebanon, NH-VT CSA (part)",218466,215395,206372,1361,644,3551,35,194,3238,3071,2075,89,53,22,2,512,318,"180"
"Cleveland-Akron-Elyria, OH CSA",2881937,2769630,2161351,497033,4547,54645,479,3437,48138,112307,56495,7888,1061,442,114,35888,10419,"184"
"Clovis-Portales, NM CSA",68222,41192,35567,3070,469,735,31,90,1230,27030,13413,349,350,65,26,11418,1409,"188"
"Columbia-Newberry, SC CSA",805106,763263,470617,263862,2358,12659,533,1031,12203,41843,16200,2868,518,167,160,18700,3230,"192"
"Columbus-Auburn-Opelika, GA-AL CSA (part); Columbus-Auburn-Opelika, GA-AL CSA (part)",456564,434865,248685,166691,1420,8563,650,727,8129,21699,9358,1962,237,146,103,7550,2343,"194"
"Columbus-Marion-Chillicothe, OH CSA",2071052,2001084,1610235,279867,4028,58026,897,3680,44351,69968,31165,3422,759,390,97,28059,6076,"198"
"Columbus-West Point, MS CSA",80413,79300,40123,37881,125,439,33,48,651,1113,486,129,15,6,0,356,121,"200"
"Corbin-London, KY CSA",94486,93459,91253,610,238,409,13,35,901,1027,563,12,35,7,5,286,119,"202"
"Corpus Christi-Kingsville, TX CSA",460662,190617,163115,14409,1226,7160,286,503,3918,270045,216160,1808,1661,315,86,42805,7210,"204"
"Dallas-Fort Worth, TX CSA",6731317,4935905,3491103,957613,27775,340035,5565,9331,104483,1795412,980153,20522,19287,3747,784,687957,82962,"206"
"Dayton-Springfield-Greenville, OH CSA",1072891,1050778,870437,137957,2225,16400,322,1626,21811,22113,11678,1116,301,137,29,6608,2244,"212"
"Denver-Aurora-Boulder, CO CSA",3090874,2408787,2078277,139653,14887,106823,2962,4937,61248,682087,371032,8480,14931,2337,497,239729,45081,"216"
"Des Moines-Newton-Pella, IA CSA",639784,600712,543552,27183,1276,17649,294,700,10058,39072,21106,561,557,113,29,13876,2830,"218"
"Detroit-Warren-Flint, MI CSA",5218852,5019277,3615111,1106337,15835,172234,1009,6169,102582,199575,113877,9245,2910,912,175,55121,17335,"220"
"Dothan-Enterprise-Ozark, AL CSA",245838,235533,175993,51279,1583,2071,146,234,4227,10305,4618,416,160,48,57,4130,876,"222"
"Eau Claire-Menomonie, WI CSA",205008,201778,191171,2013,854,5187,56,79,2418,3230,1824,63,95,27,4,850,367,"232"
