"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Albany-Corvallis-Lebanon, OR CSA",202251,173131,1171,5482,14594,7873,0.8560204893918942,0.005789835402544363,0.027104933968188045,0.07215786324913102,0.038926877988242334,0.3583585135522214,0.30941066959625846,0.32489232261938783,0.25973866304326165,"102"
"Albany-Schenectady-Amsterdam, NY CSA",1168485,993600,69637,29366,48022,27860,0.8503318399465976,0.059595972562762896,0.025131687612592372,0.04109766064605023,0.02384283923199699,0.38446245919753197,0.3740122901998281,0.3820870628234288,0.2704949816118547,"104"
"Ames-Boone, IA CSA",115848,103006,2327,5456,3200,1859,0.8891478489054623,0.02008666528554658,0.04709619501415648,0.027622401767833715,0.016046889027000896,0.3058928281169129,0.30064064818554576,0.3072983094227781,0.20577407735281572,"112"
"Appleton-Oshkosh-Neenah, WI CSA",392660,355200,4774,10030,13833,8823,0.9045993989711201,0.012158101156216574,0.025543727397748687,0.03522895125553914,0.02246982121937554,0.2741009795209596,0.24620767389147988,0.25670050022580576,0.1791536540757972,"118"
"Asheville-Brevard, NC CSA",457948,396497,20255,3807,28064,9325,0.8658122756295474,0.044229912566492266,0.008313170927703582,0.06128206695956746,0.02036257391668923,0.3435393834207881,0.3339002005015535,0.34163905191691707,0.24417358324532235,"120"
"Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part); Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part)",5618431,2895372,1740955,257305,602485,122314,0.5153346192202057,0.3098649783186801,0.0457965933905747,0.10723367431227686,0.02177013475826258,0.7261163971430162,0.7844387643945739,0.7828930681105736,0.6243435978046434,"122"
"Austin-Round Rock-Marble Falls, TX CSA",1759039,971004,121210,81178,546965,38682,0.5520082272195216,0.0689069429387296,0.046149062073097866,0.3109453514106282,0.021990416358022763,0.6843642215669652,0.7344353650155742,0.7339718510956234,0.5912384243910949,"126"
"Baton Rouge-Pierre Part, LA CSA",825905,480750,291672,14278,27855,11350,0.5820887390196209,0.3531544184863877,0.017287702580805298,0.0337266392623849,0.013742500650801242,0.5753251925118245,0.6241646202253168,0.6254317265865454,0.5348294494294943,"132"
"Beckley-Oak Hill, WV CSA",124898,112009,8487,804,1398,2200,0.8968037918941857,0.06795144838187961,0.0064372527982833995,0.011193133597015164,0.017614373328636166,0.2698501353702228,0.2538437021297924,0.26196592116671813,0.19064856889594461,"138"
"Bend-Prineville, OR CSA",178711,158228,554,1508,13181,5240,0.8853847832534091,0.0030999770579315205,0.0084382046992071,0.07375595234764508,0.029321082641807165,0.2869001222598685,0.24476983844059994,0.2584304556107139,0.20971330603301275,"140"
"Birmingham-Hoover-Cullman, AL CSA",1208453,808224,317840,14087,51984,16318,0.6688087993492506,0.263013952549251,0.011657052446392206,0.043016981214825896,0.01350321444028026,0.5378670229245067,0.5806796531108992,0.582513059365212,0.4813497663326394,"142"
