"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Albany-Corvallis-Lebanon, OR CSA",202251,173131,1171,5482,14594,7873,"102"
"Albany-Schenectady-Amsterdam, NY CSA",1168485,993600,69637,29366,48022,27860,"104"
"Ames-Boone, IA CSA",115848,103006,2327,5456,3200,1859,"112"
"Appleton-Oshkosh-Neenah, WI CSA",392660,355200,4774,10030,13833,8823,"118"
"Asheville-Brevard, NC CSA",457948,396497,20255,3807,28064,9325,"120"
"Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part); Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part)",5618431,2895372,1740955,257305,602485,122314,"122"
"Austin-Round Rock-Marble Falls, TX CSA",1759039,971004,121210,81178,546965,38682,"126"
"Baton Rouge-Pierre Part, LA CSA",825905,480750,291672,14278,27855,11350,"132"
"Beckley-Oak Hill, WV CSA",124898,112009,8487,804,1398,2200,"138"
"Bend-Prineville, OR CSA",178711,158228,554,1508,13181,5240,"140"
"Birmingham-Hoover-Cullman, AL CSA",1208453,808224,317840,14087,51984,16318,"142"
"Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part)",7559060,5872738,407031,380411,673917,224963,"148"
"Brownsville-Harlingen-Raymondville, TX CSA",428354,45662,1581,2620,377044,1447,"154"
"Buffalo-Niagara-Cattaraugus, NY CSA",1215826,976912,135393,25952,47770,29799,"160"
"Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part); Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part)",135466,116809,12666,1062,2434,2495,"164"
"Carbondale-Marion-Herrin, IL CSA",126575,106465,11002,2447,3704,2957,"166"
"Charlotte-Gastonia-Salisbury, NC-SC CSA (part); Charlotte-Gastonia-Salisbury, NC-SC CSA (part)",2402623,1565003,516992,61937,208277,50414,"172"
"Chattanooga-Cleveland-Athens, TN-GA CSA (part); Chattanooga-Cleveland-Athens, TN-GA CSA (part)",696197,571296,79003,8402,25069,12427,"174"
"Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part)",9686021,5378402,1642477,528457,1973340,163345,"176"
"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part)",2172191,1778271,254722,40329,55679,43190,"178"
"Claremont-Lebanon, NH-VT CSA (part); Claremont-Lebanon, NH-VT CSA (part)",218466,206372,1361,3551,3071,4111,"180"
"Cleveland-Akron-Elyria, OH CSA",2881937,2161351,497033,54645,112307,56601,"184"
"Clovis-Portales, NM CSA",68222,35567,3070,735,27030,1820,"188"
"Columbia-Newberry, SC CSA",805106,470617,263862,12659,41843,16125,"192"
"Columbus-Auburn-Opelika, GA-AL CSA (part); Columbus-Auburn-Opelika, GA-AL CSA (part)",456564,248685,166691,8563,21699,10926,"194"
"Columbus-Marion-Chillicothe, OH CSA",2071052,1610235,279867,58026,69968,52956,"198"
"Columbus-West Point, MS CSA",80413,40123,37881,439,1113,857,"200"
"Corbin-London, KY CSA",94486,91253,610,409,1027,1187,"202"
"Corpus Christi-Kingsville, TX CSA",460662,163115,14409,7160,270045,5933,"204"
"Dallas-Fort Worth, TX CSA",6731317,3491103,957613,340035,1795412,147154,"206"
"Dayton-Springfield-Greenville, OH CSA",1072891,870437,137957,16400,22113,25984,"212"
"Denver-Aurora-Boulder, CO CSA",3090874,2078277,139653,106823,682087,84034,"216"
"Des Moines-Newton-Pella, IA CSA",639784,543552,27183,17649,39072,12328,"218"
"Detroit-Warren-Flint, MI CSA",5218852,3615111,1106337,172234,199575,125595,"220"
"Dothan-Enterprise-Ozark, AL CSA",245838,175993,51279,2071,10305,6190,"222"
"Eau Claire-Menomonie, WI CSA",205008,191171,2013,5187,3230,3407,"232"
"Fairmont-Clarksburg, WV CSA",150614,142806,3185,675,1579,2369,"242"
