"NAME","P0050001","FIPS"
"Albany-Corvallis-Lebanon, OR CSA",202251,"102"
"Albany-Schenectady-Amsterdam, NY CSA",1168485,"104"
"Ames-Boone, IA CSA",115848,"112"
"Appleton-Oshkosh-Neenah, WI CSA",392660,"118"
"Asheville-Brevard, NC CSA",457948,"120"
"Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part); Atlanta-Sandy Springs-Gainesville, GA-AL CSA (part)",5618431,"122"
"Austin-Round Rock-Marble Falls, TX CSA",1759039,"126"
"Baton Rouge-Pierre Part, LA CSA",825905,"132"
"Beckley-Oak Hill, WV CSA",124898,"138"
"Bend-Prineville, OR CSA",178711,"140"
"Birmingham-Hoover-Cullman, AL CSA",1208453,"142"
"Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part); Boston-Worcester-Manchester, MA-RI-NH CSA (part)",7559060,"148"
"Brownsville-Harlingen-Raymondville, TX CSA",428354,"154"
"Buffalo-Niagara-Cattaraugus, NY CSA",1215826,"160"
"Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part); Cape Girardeau-Sikeston-Jackson, MO-IL CSA (part)",135466,"164"
"Carbondale-Marion-Herrin, IL CSA",126575,"166"
"Charlotte-Gastonia-Salisbury, NC-SC CSA (part); Charlotte-Gastonia-Salisbury, NC-SC CSA (part)",2402623,"172"
"Chattanooga-Cleveland-Athens, TN-GA CSA (part); Chattanooga-Cleveland-Athens, TN-GA CSA (part)",696197,"174"
"Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part); Chicago-Naperville-Michigan City, IL-IN-WI CSA (part)",9686021,"176"
"Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part); Cincinnati-Middletown-Wilmington, OH-KY-IN CSA (part)",2172191,"178"
"Claremont-Lebanon, NH-VT CSA (part); Claremont-Lebanon, NH-VT CSA (part)",218466,"180"
"Cleveland-Akron-Elyria, OH CSA",2881937,"184"
"Clovis-Portales, NM CSA",68222,"188"
"Columbia-Newberry, SC CSA",805106,"192"
"Columbus-Auburn-Opelika, GA-AL CSA (part); Columbus-Auburn-Opelika, GA-AL CSA (part)",456564,"194"
"Columbus-Marion-Chillicothe, OH CSA",2071052,"198"
"Columbus-West Point, MS CSA",80413,"200"
"Corbin-London, KY CSA",94486,"202"
"Corpus Christi-Kingsville, TX CSA",460662,"204"
"Dallas-Fort Worth, TX CSA",6731317,"206"
"Dayton-Springfield-Greenville, OH CSA",1072891,"212"
"Denver-Aurora-Boulder, CO CSA",3090874,"216"
"Des Moines-Newton-Pella, IA CSA",639784,"218"
"Detroit-Warren-Flint, MI CSA",5218852,"220"
"Dothan-Enterprise-Ozark, AL CSA",245838,"222"
"Eau Claire-Menomonie, WI CSA",205008,"232"
"Fairmont-Clarksburg, WV CSA",150614,"242"
"Fargo-Wahpeton, ND-MN CSA (part); Fargo-Wahpeton, ND-MN CSA (part)",231674,"244"
"Findlay-Tiffin, OH CSA",131527,"248"
"Fond du Lac-Beaver Dam, WI CSA",190392,"252"
"Fort Polk South-DeRidder, LA CSA",87988,"256"
"Fort Wayne-Huntington-Auburn, IN CSA",611712,"258"
"Fresno-Madera, CA CSA",1081315,"260"
"Grand Rapids-Muskegon-Holland, MI CSA",1321557,"266"
"Greensboro--Winston-Salem--High Point, NC CSA",1589200,"268"
"Greenville-Spartanburg-Anderson, SC CSA",1266995,"273"
"Gulfport-Biloxi-Pascagoula, MS CSA",411066,"274"
"Harrisburg-Carlisle-Lebanon, PA CSA",683043,"276"
"Hartford-West Hartford-Willimantic, CT CSA",1330809,"278"
"Houston-Baytown-Huntsville, TX CSA",6051363,"288"
"Huntsville-Decatur, AL CSA",571422,"290"
"Idaho Falls-Blackfoot, ID CSA",175981,"292"
"Indianapolis-Anderson-Columbus, IN CSA",2080782,"294"
"Ithaca-Cortland, NY CSA",150900,"296"
"Jackson-Humboldt, TN CSA",165108,"297"
"Jackson-Yazoo City, MS CSA",567122,"298"
"Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part); Johnson City-Kingsport-Bristol (Tri-Cities), TN-VA CSA (part)",508260,"304"
"Jonesboro-Paragould, AR CSA",163116,"308"
"Kansas City-Overland Park-Kansas City, MO-KS CSA (part); Kansas City-Overland Park-Kansas City, MO-KS CSA (part)",2104853,"312"
"Knoxville-Sevierville-La Follette, TN CSA",1055086,"314"
"Kokomo-Peru, IN CSA",135591,"316"
"Lafayette-Acadiana, LA CSA",550134,"318"
"Lafayette-Frankfort, IN CSA",235013,"320"
"Lake Charles-Jennings, LA CSA",231201,"324"
"Lansing-East Lansing-Owosso, MI CSA",534684,"330"
"Las Vegas-Paradise-Pahrump, NV CSA",1995215,"332"
"Lexington-Fayette--Frankfort--Richmond, KY CSA",687173,"336"
"Lima-Van Wert-Wapakoneta, OH CSA",181024,"338"
"Little Rock-North Little Rock-Pine Bluff, AR CSA",877091,"340"
"Longview-Marshall, TX CSA",280000,"346"
"Los Angeles-Long Beach-Riverside, CA CSA",17877006,"348"
"Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part); Louisville/Jefferson County--Elizabethtown--Scottsburg, KY-IN CSA (part)",1427483,"350"
"Lubbock-Levelland, TX CSA",307825,"352"
"Lumberton-Laurinburg, NC CSA",170325,"354"
"Macon-Warner Robins-Fort Valley, GA CSA",399888,"356"
"Madison-Baraboo, WI CSA",630569,"358"
"Mansfield-Bucyrus, OH CSA",168259,"360"
"Midland-Odessa, TX CSA",274002,"372"
"Milwaukee-Racine-Waukesha, WI CSA",1751316,"376"
"Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part); Minneapolis-St. Paul-St. Cloud, MN-WI CSA (part)",3615902,"378"
"Mobile-Daphne-Fairhope, AL CSA",595257,"380"
"Monroe-Bastrop, LA CSA",204420,"384"
"Montgomery-Alexander City, AL CSA",427691,"388"
"Myrtle Beach-Conway-Georgetown, SC CSA",329449,"396"
"Nashville-Davidson--Murfreesboro--Columbia, TN CSA",1670890,"400"
"New Orleans-Metairie-Bogalusa, LA CSA",1214932,"406"
"New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part); New York-Newark-Bridgeport, NY-NJ-CT-PA CSA (part)",22085649,"408"
"Oklahoma City-Shawnee, OK CSA",1322429,"416"
"Omaha-Council Bluffs-Fremont, NE-IA CSA (part); Omaha-Council Bluffs-Fremont, NE-IA CSA (part)",902041,"420"
"Orlando-Deltona-Daytona Beach, FL CSA",2818120,"422"
"Paducah-Mayfield, KY-IL CSA (part); Paducah-Mayfield, KY-IL CSA (part)",135883,"424"
"Peoria-Canton, IL CSA",416255,"426"
"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part); Philadelphia-Camden-Vineland, PA-NJ-DE-MD CSA (part)",6533683,"428"
"Pittsburgh-New Castle, PA CSA",2447393,"430"
"Portland-Lewiston-South Portland, ME CSA",621800,"438"
"Port St. Lucie-Sebastian-Vero Beach, FL CSA",562135,"442"
"Raleigh-Durham-Cary, NC CSA",1749525,"450"
"Reno-Sparks-Fernley, NV CSA",477397,"456"
"Rochester-Batavia-Seneca Falls, NY CSA",1149653,"464"
"Rockford-Freeport-Rochelle, IL CSA",450639,"466"
"Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part); Sacramento--Arden-Arcade--Yuba City, CA-NV CSA (part)",2461780,"472"
"Saginaw-Bay City-Saginaw Township North, MI CSA",307940,"474"
"St. Louis-St. Charles-Farmington, MO-IL CSA (part); St. Louis-St. Charles-Farmington, MO-IL CSA (part)",2878255,"476"
"Salisbury-Ocean Pines, MD CSA",176657,"480"
"Salt Lake City-Ogden-Clearfield, UT CSA",1744886,"482"
"San Jose-San Francisco-Oakland, CA CSA",7468390,"488"
"Santa Fe-Espanola, NM CSA",184416,"492"
"Sarasota-Bradenton-Punta Gorda, FL CSA",862259,"494"
"Savannah-Hinesville-Fort Stewart, GA CSA",425528,"496"
"Seattle-Tacoma-Olympia, WA CSA",4199312,"500"
"Shreveport-Bossier City-Minden, LA CSA",439811,"508"
"Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part); Sioux City-Vermillion, IA-NE-SD CSA (part)",157441,"512"
"South Bend-Elkhart-Mishawaka, IN-MI CSA (part); South Bend-Elkhart-Mishawaka, IN-MI CSA (part)",563834,"515"
"Sunbury-Lewisburg-Selinsgrove, PA CSA",179177,"526"
"Syracuse-Auburn, NY CSA",742603,"532"
"Toledo-Fremont, OH CSA",712373,"534"
"Tulsa-Bartlesville, OK CSA",988454,"538"
"Tyler-Jacksonville, TX CSA",260559,"540"
"Union City-Martin, TN-KY CSA (part); Union City-Martin, TN-KY CSA (part)",73641,"542"
"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part); Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA (part)",8572971,"548"
"Wausau-Merrill, WI CSA",162806,"554"
"Wichita-Winfield, KS CSA",659372,"556"
"Williamsport-Lock Haven, PA CSA",155349,"558"
"York-Hanover-Gettysburg, PA CSA",536379,"564"
"Youngstown-Warren-East Liverpool, OH-PA CSA (part); Youngstown-Warren-East Liverpool, OH-PA CSA (part)",673614,"566"
