"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Congressional District 1",687841,668663,452647,189648,7670,9057,261,716,8664,19178,9199,993,249,72,65,7300,1300,"0101"
"Congressional District 2",673877,651226,425210,207240,2994,5814,305,524,9139,22651,9026,1129,306,93,191,10259,1647,"0102"
"Congressional District 3",681298,662095,426253,215644,2076,8941,336,559,8286,19203,7490,1242,239,106,121,8567,1438,"0103"
"Congressional District 4",660162,618193,570655,32757,3687,2371,222,420,8081,41969,13240,415,521,88,360,25619,1726,"0104"
"Congressional District 5",718724,685976,527220,126333,6440,10668,476,727,14112,32748,12362,1217,453,169,134,16352,2061,"0105"
"Congressional District 6",754482,722451,605010,95046,1932,11979,226,699,7559,32031,14095,564,317,85,122,15173,1675,"0106"
"Congressional District 7",603352,585530,197407,377769,1108,4107,150,385,4604,17822,5580,1314,226,45,88,9610,959,"0107"
"Congressional District (at Large)",710231,670982,455320,21949,102556,37459,7219,1111,45368,39249,18256,1314,2315,676,190,9991,6507,"0200"
"Congressional District 1",774310,623579,442333,11762,148109,6796,1586,751,12242,150731,77769,1124,5995,408,126,55359,9950,"0401"
"Congressional District 2",972839,770838,674663,34092,16806,24570,1471,1145,18091,202001,98727,2312,3012,877,178,83376,13519,"0402"
"Congressional District 3",707919,571006,500403,21795,9447,24187,881,1030,13263,136913,70498,1705,2043,606,149,53837,8075,"0403"
"Congressional District 4",698314,252155,150172,60063,14671,15083,992,1051,10123,446159,202616,4812,7846,1021,363,210773,18728,"0404"
"Congressional District 5",656833,548306,461465,25051,16232,29224,1542,1082,13710,108527,56433,1434,2866,527,104,39612,7551,"0405"
"Congressional District 6",971733,771053,673881,30047,9541,35184,2119,1206,19075,200680,104894,2264,3011,811,217,76263,13220,"0406"
"Congressional District 7",855769,376755,278662,31450,36749,15308,995,1165,12426,479014,257300,3969,11231,1190,367,183850,21107,"0407"
"Congressional District 8",754300,583176,514068,24841,5871,20157,1373,1165,15701,171124,103237,2287,3099,746,185,50051,11519,"0408"
"Congressional District 1",687694,669024,540189,113714,2736,3528,161,295,8401,18670,7900,558,284,43,45,8193,1647,"0501"
"Congressional District 2",751377,712099,529961,155640,3244,10449,252,776,11777,39278,16593,810,450,126,140,18543,2616,"0502"
"Congressional District 3",822564,724635,654007,19425,10725,17917,4934,678,16949,97929,36450,659,972,218,144,54387,5099,"0503"
"Congressional District 4",654283,624110,449312,158323,3478,3753,162,372,8710,30173,10817,766,359,68,25,16327,1811,"0504"
"Congressional District 1",704012,538083,444149,11392,15965,41400,1749,1522,21906,165929,71699,998,4465,879,214,75052,12622,"0601"
"Congressional District 2",708596,574231,497496,8921,12336,30338,1313,1045,22782,134365,57971,943,3522,702,169,59498,11560,"0602"
"Congressional District 3",783317,660785,488421,45461,4950,84384,4253,1835,31481,122532,59101,2137,2557,1905,346,42693,13793,"0603"
"Congressional District 4",774261,680860,604095,10562,8080,32501,1434,1529,22659,93401,50735,644,2498,790,157,29624,8953,"0604"
"Congressional District 5",700443,508777,251063,95810,4053,114958,8934,1721,32238,191666,73452,5007,4128,2381,429,87998,18271,"0605"
"Congressional District 6",664468,524299,455471,13001,3529,29865,1759,1833,18841,140169,61695,1131,3317,688,182,62415,10741,"0606"
