"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Congressional District 1",687841,452647,189648,9057,19178,17311,0.6580692340235607,0.2757148817822724,0.01316728720736333,0.027881443531281212,0.025167153455522423,0.5468299976804583,0.5642794859486288,0.5680020547773689,0.48934204923658864,"0101"
"Congressional District 2",673877,425210,207240,5814,22651,12962,0.6309905220092094,0.30753386745652395,0.008627687248563165,0.0336129590414868,0.019234964244216675,0.5494031523593961,0.580440421123998,0.5830164567566819,0.5056996296495186,"0102"
"Congressional District 3",681298,426253,215644,8941,19203,11257,0.625648394681916,0.3165193498292964,0.013123479006249834,0.02818590396566554,0.016522872516872206,0.5485012521373943,0.585746043537039,0.5878875567610101,0.5071399112157828,"0103"
"Congressional District 4",660162,570655,32757,2371,41969,12410,0.8644166128919871,0.049619638815927,0.0035915426819477644,0.06357378946379828,0.018798416146339838,0.33867410720427715,0.3321117440511718,0.33930049885581726,0.2459139044648868,"0104"
"Congressional District 5",718724,527220,126333,10668,32748,21755,0.7335500136352758,0.17577401060768807,0.014842971710976675,0.04556408301378554,0.030268921032273865,0.5231535633574583,0.5253963097872388,0.5309937039376726,0.42779526764001696,"0105"
"Congressional District 6",754482,605010,95046,11979,32031,10416,0.801887917803208,0.12597517236991737,0.01587711834079541,0.04245429314417044,0.013805498341908752,0.43310375484063196,0.4565823152701578,0.46016847087708335,0.3388609815499578,"0106"
"Congressional District 7",603352,197407,377769,4107,17822,6247,0.32718379983823703,0.626117092509845,0.006806971718002095,0.029538312626791657,0.0103538233071242,0.5244205557322452,0.5732033877432374,0.574698446954389,0.4999020991565477,"0107"
"Congressional District (at Large)",710231,455320,21949,37459,39249,156254,0.6410871955743976,0.03090402981565153,0.052741995210009135,0.05526230198343919,0.22000447741650253,0.6466770833035441,0.47523478537298885,0.5104804807128862,0.5338145384491575,"0200"
"Congressional District 1",774310,442333,11762,6796,150731,162688,0.5712608645116297,0.015190298459273418,0.008776846482674898,0.1946649274838243,0.21010706306259766,0.6656870248415095,0.5089234442857052,0.5363838531963553,0.5913138345348902,"0401"
"Congressional District 2",972839,674663,34092,24570,202001,37513,0.6934991298662986,0.03504382534006141,0.025255977607805607,0.20764072986383153,0.038560337322002924,0.5692080571309516,0.5647822856523248,0.5702761790683797,0.4725914504625247,"0402"
"Congressional District 3",707919,500403,21795,24187,136913,24621,0.7068647684268963,0.030787420594729057,0.03416633823926184,0.19340207001083456,0.03477940272827824,0.5606411353906201,0.5615023663195949,0.5666202642476514,0.45961302768262235,"0403"
"Congressional District 4",698314,150172,60063,15083,446159,26837,0.21504939038885085,0.08601145043633666,0.021599165991230306,0.6389088576199246,0.03843113556365761,0.6435918781117083,0.654826675917446,0.6568434913213721,0.5362077855897952,"0404"
"Congressional District 5",656833,461465,25051,29224,108527,32566,0.7025606204316774,0.03813907035730543,0.04449228342668532,0.16522769105693533,0.04958033472739646,0.5949345573201871,0.5769996852896562,0.5832548603195967,0.4732160231627298,"0405"
"Congressional District 6",971733,673881,30047,35184,200680,31941,0.6934837038569237,0.030921045184222416,0.03620747674515531,0.2065176339591225,0.0328701402545761,0.571312545037769,0.5779778927886102,0.5822964426991007,0.47308328082091733,"0406"
"Congressional District 7",855769,278662,31450,15308,479014,51335,0.3256275934276656,0.03675057170801934,0.017888004823731637,0.5597468475721836,0.059986982468399765,0.6538456789867068,0.6333898506194682,0.6373415444513626,0.5753811137284053,"0407"
"Congressional District 8",754300,514068,24841,20157,171124,24110,0.6815166379424632,0.03293252021742012,0.026722789341110963,0.2268646427151001,0.031963409783905605,0.569831506281798,0.577954974830021,0.5821658137335654,0.48124718817029755,"0408"
"Congressional District 1",687694,540189,113714,3528,18670,11593,0.7855077985266703,0.16535552149647953,0.0051301887176563995,0.027148702766055834,0.016857788493137935,0.4231372299485021,0.43690521845888186,0.44159720767177324,0.3545874940333733,"0501"
"Congressional District 2",751377,529961,155640,10449,39278,16049,0.7053196996980211,0.2071396915263576,0.01390646772525643,0.05227469033521122,0.021359450715153643,0.5394603242173929,0.563833767256823,0.5670324414775508,0.4562350101831698,"0502"
"Congressional District 3",822564,654007,19425,17917,97929,33286,0.7950834220802272,0.023615183742541613,0.021781891743378023,0.11905335025602871,0.04046615217782446,0.4581007845584016,0.4269008703185649,0.43821725483561935,0.35099901454281757,"0503"
"Congressional District 4",654283,449312,158323,3753,30173,12722,0.686724246235956,0.2419793881240992,0.0057360499967139605,0.04611613017608588,0.01944418546714495,0.5278426242964824,0.554432635052052,0.5575409043110533,0.4673181092742815,"0504"
"Congressional District 1",704012,444149,11392,41400,165929,41142,0.6308827122264962,0.01618154236007341,0.058805815809957786,0.23569058481957694,0.05843934478389573,0.640314995700895,0.6189442381076964,0.6236721402494388,0.5393018283361493,"0601"
"Congressional District 2",708596,497496,8921,30338,134365,37476,0.7020869437592083,0.0125896843899768,0.04281424111905797,0.18962144861105623,0.052887682120700656,0.564833273068623,0.5347639313856515,0.5436047909602848,0.4663289633137585,"0602"
"Congressional District 3",783317,488421,45461,84384,122532,42519,0.6235291714593197,0.05803652927231249,0.10772650153130853,0.15642709145850275,0.05428070627855645,0.7133690091431842,0.7148429400914691,0.7141135586240446,0.5688223044608376,"0603"
"Congressional District 4",774261,604095,10562,32501,93401,33702,0.7802213982106809,0.013641394826809048,0.0419768011045371,0.12063244823128118,0.043527957626691774,0.4827039624336847,0.4509089699140149,0.46198710848430563,0.37285955962895545,"0604"
"Congressional District 5",700443,251063,95810,114958,191666,46946,0.35843459068046934,0.13678486329365844,0.1641218486015279,0.27363539931157854,0.06702329811276578,0.9147459291132125,0.9481794043961468,0.9313187317795757,0.746510109942757,"0605"
"Congressional District 6",664468,455471,13001,29865,140169,25962,0.6854671707290645,0.019566028762859913,0.04494573102090695,0.2109492104962165,0.03907185899095216,0.5779830231863362,0.5744522296342882,0.5796337789326953,0.4817056300601529,"0606"
