"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Congressional District 1",687841,452647,189648,9057,19178,17311,"0101"
"Congressional District 2",673877,425210,207240,5814,22651,12962,"0102"
"Congressional District 3",681298,426253,215644,8941,19203,11257,"0103"
"Congressional District 4",660162,570655,32757,2371,41969,12410,"0104"
"Congressional District 5",718724,527220,126333,10668,32748,21755,"0105"
"Congressional District 6",754482,605010,95046,11979,32031,10416,"0106"
"Congressional District 7",603352,197407,377769,4107,17822,6247,"0107"
"Congressional District (at Large)",710231,455320,21949,37459,39249,156254,"0200"
"Congressional District 1",774310,442333,11762,6796,150731,162688,"0401"
"Congressional District 2",972839,674663,34092,24570,202001,37513,"0402"
"Congressional District 3",707919,500403,21795,24187,136913,24621,"0403"
"Congressional District 4",698314,150172,60063,15083,446159,26837,"0404"
"Congressional District 5",656833,461465,25051,29224,108527,32566,"0405"
"Congressional District 6",971733,673881,30047,35184,200680,31941,"0406"
"Congressional District 7",855769,278662,31450,15308,479014,51335,"0407"
"Congressional District 8",754300,514068,24841,20157,171124,24110,"0408"
"Congressional District 1",687694,540189,113714,3528,18670,11593,"0501"
"Congressional District 2",751377,529961,155640,10449,39278,16049,"0502"
"Congressional District 3",822564,654007,19425,17917,97929,33286,"0503"
"Congressional District 4",654283,449312,158323,3753,30173,12722,"0504"
"Congressional District 1",704012,444149,11392,41400,165929,41142,"0601"
"Congressional District 2",708596,497496,8921,30338,134365,37476,"0602"
"Congressional District 3",783317,488421,45461,84384,122532,42519,"0603"
"Congressional District 4",774261,604095,10562,32501,93401,33702,"0604"
"Congressional District 5",700443,251063,95810,114958,191666,46946,"0605"
"Congressional District 6",664468,455471,13001,29865,140169,25962,"0606"
"Congressional District 7",655708,231744,96866,97469,194433,35196,"0607"
"Congressional District 8",666827,277825,43243,207543,110517,27699,"0608"
"Congressional District 9",648766,224389,131574,116727,143038,33038,"0609"
"Congressional District 10",714750,377698,51578,95206,152006,38262,"0610"
"Congressional District 11",796753,400825,36432,114217,209451,35828,"0611"
"Congressional District 12",651322,266165,14070,217794,120247,33046,"0612"
"Congressional District 13",665318,174998,45701,239434,165943,39242,"0613"
"Congressional District 14",653935,332666,15038,140789,135978,29464,"0614"
"Congressional District 15",677605,247864,15622,246832,140212,27075,"0615"
"Congressional District 16",676880,173377,19577,191540,270191,22195,"0616"
"Congressional District 17",664240,260473,13552,33963,334955,21297,"0617"
"Congressional District 18",723607,213110,40115,63690,381039,25653,"0618"
"Congressional District 19",757337,377335,28230,41640,282152,27980,"0619"
"Congressional District 20",744350,123318,44406,37690,523705,15231,"0620"
"Congressional District 21",784176,292536,15923,52744,401194,21779,"0621"
"Congressional District 22",797084,432482,49378,31125,255209,28890,"0622"
"Congressional District 23",695404,285829,10938,36656,344083,17898,"0623"
"Congressional District 24",681622,411049,10332,41823,196367,22051,"0624"
"Congressional District 25",844320,352189,82293,47524,330711,31603,"0625"
"Congressional District 26",691452,295849,31714,131103,212383,20403,"0626"
"Congressional District 27",684496,260313,29404,84343,289529,20907,"0627"
"Congressional District 28",660194,201068,22335,42956,379697,14138,"0628"
"Congressional District 29",642138,253728,29740,178023,160768,19879,"0629"
"Congressional District 30",662319,477749,19080,71769,67094,26627,"0630"
"Congressional District 31",611336,69321,23269,91654,417183,9909,"0631"
"Congressional District 32",642236,67230,12210,141730,412275,8791,"0632"
"Congressional District 33",637122,137720,156406,84407,238500,20089,"0633"
"Congressional District 34",654303,57674,30879,42213,515167,8370,"0634"
"Congressional District 35",662413,59459,188365,37243,360796,16550,"0635"
"Congressional District 36",659385,288104,26169,106988,211180,26944,"0636"
"Congressional District 37",648847,89048,138211,76682,320630,24276,"0637"
"Congressional District 38",641410,60640,17933,70714,483490,8633,"0638"
"Congressional District 39",643115,101431,34623,67358,427353,12350,"0639"
"Congressional District 40",665653,260124,14568,136342,234453,20166,"0640"
"Congressional District 41",797133,404103,47943,37088,277907,30092,"0641"
"Congressional District 42",667638,300829,16353,134897,195383,20176,"0642"
"Congressional District 43",735581,107485,72721,29115,510693,15567,"0643"
"Congressional District 44",844756,342342,43750,65877,367158,25629,"0644"
"Congressional District 45",914209,375870,58120,40019,413441,26759,"0645"
"Congressional District 46",648663,362263,9809,121879,131127,23585,"0646"
"Congressional District 47",631422,78466,8433,107130,426869,10524,"0647"
"Congressional District 48",727833,422360,9841,137094,130620,27918,"0648"
"Congressional District 49",797428,381829,34315,40099,307399,33786,"0649"
"Congressional District 50",753135,440949,13448,102642,167332,28764,"0650"
"Congressional District 51",757891,115468,52771,92749,473224,23679,"0651"
"Congressional District 52",673893,431836,28643,49478,130819,33117,"0652"
"Congressional District 53",662854,316428,42736,65626,211756,26308,"0653"
"Congressional District 1",662039,354652,62071,21880,203543,19893,"0801"
"Congressional District 2",733805,531504,7523,28260,149228,17290,"0802"
"Congressional District 3",706186,505335,5034,4535,170957,20325,"0803"
"Congressional District 4",725041,543865,8128,11024,146527,15497,"0804"
"Congressional District 5",725902,534072,38016,17101,105677,31036,"0805"
"Congressional District 6",797813,653030,21920,31756,69786,21321,"0806"
"Congressional District 7",678410,398335,46086,21008,192969,20012,"0807"
"Congressional District 1",710951,461039,98646,31372,104848,15046,"0901"
"Congressional District 2",729771,615266,25994,21171,48781,18559,"0902"
"Congressional District 3",712339,490247,89033,27179,90670,15210,"0903"
"Congressional District 4",706740,456810,79467,32574,123554,14335,"0904"
"Congressional District 5",714296,522900,41979,21795,111234,16388,"0905"
"Congressional District (at Large)",897934,586752,186782,28308,73221,22871,"1000"
"Delegate District (at Large)",601723,209464,301053,20818,54749,15639,"1198"
"Congressional District 1",694158,517582,99205,15999,35113,26259,"1201"
"Congressional District 2",737519,505020,161675,12334,40524,17966,"1202"
"Congressional District 3",659055,216942,337730,12661,74334,17388,"1203"
"Congressional District 4",744418,534298,109208,28234,52935,19743,"1204"
"Congressional District 5",929533,739085,55633,15790,100777,18248,"1205"
"Congressional District 6",812727,577221,117270,26363,72222,19651,"1206"
"Congressional District 7",812442,606775,78191,18644,91819,17013,"1207"
"Congressional District 8",805608,459529,77615,37577,209511,21376,"1208"
"Congressional District 9",753549,569895,40011,24724,102749,16170,"1209"
"Congressional District 10",633889,516429,34251,20900,48410,13899,"1210"
"Congressional District 11",673799,274761,180419,17592,185345,15682,"1211"
"Congressional District 12",842199,500066,128732,16214,178411,18776,"1212"
"Congressional District 13",757805,605206,39804,10501,90836,11458,"1213"
"Congressional District 14",858956,635164,56086,11186,143398,13122,"1214"
"Congressional District 15",813570,539194,72626,18057,164464,19229,"1215"
"Congressional District 16",797711,567802,71386,11883,131517,15123,"1216"
"Congressional District 17",655160,80339,366306,10090,184771,13654,"1217"
"Congressional District 18",712790,176922,42526,9502,476672,7168,"1218"
