"NAME","P0050001","FIPS"
"Congressional District 1",687841,"0101"
"Congressional District 2",673877,"0102"
"Congressional District 3",681298,"0103"
"Congressional District 4",660162,"0104"
"Congressional District 5",718724,"0105"
"Congressional District 6",754482,"0106"
"Congressional District 7",603352,"0107"
"Congressional District (at Large)",710231,"0200"
"Congressional District 1",774310,"0401"
"Congressional District 2",972839,"0402"
"Congressional District 3",707919,"0403"
"Congressional District 4",698314,"0404"
"Congressional District 5",656833,"0405"
"Congressional District 6",971733,"0406"
"Congressional District 7",855769,"0407"
"Congressional District 8",754300,"0408"
"Congressional District 1",687694,"0501"
"Congressional District 2",751377,"0502"
"Congressional District 3",822564,"0503"
"Congressional District 4",654283,"0504"
"Congressional District 1",704012,"0601"
"Congressional District 2",708596,"0602"
"Congressional District 3",783317,"0603"
"Congressional District 4",774261,"0604"
"Congressional District 5",700443,"0605"
"Congressional District 6",664468,"0606"
"Congressional District 7",655708,"0607"
"Congressional District 8",666827,"0608"
"Congressional District 9",648766,"0609"
"Congressional District 10",714750,"0610"
"Congressional District 11",796753,"0611"
"Congressional District 12",651322,"0612"
"Congressional District 13",665318,"0613"
"Congressional District 14",653935,"0614"
"Congressional District 15",677605,"0615"
"Congressional District 16",676880,"0616"
"Congressional District 17",664240,"0617"
"Congressional District 18",723607,"0618"
"Congressional District 19",757337,"0619"
"Congressional District 20",744350,"0620"
"Congressional District 21",784176,"0621"
"Congressional District 22",797084,"0622"
"Congressional District 23",695404,"0623"
"Congressional District 24",681622,"0624"
"Congressional District 25",844320,"0625"
"Congressional District 26",691452,"0626"
"Congressional District 27",684496,"0627"
"Congressional District 28",660194,"0628"
"Congressional District 29",642138,"0629"
"Congressional District 30",662319,"0630"
"Congressional District 31",611336,"0631"
"Congressional District 32",642236,"0632"
"Congressional District 33",637122,"0633"
"Congressional District 34",654303,"0634"
"Congressional District 35",662413,"0635"
"Congressional District 36",659385,"0636"
"Congressional District 37",648847,"0637"
"Congressional District 38",641410,"0638"
"Congressional District 39",643115,"0639"
"Congressional District 40",665653,"0640"
"Congressional District 41",797133,"0641"
"Congressional District 42",667638,"0642"
"Congressional District 43",735581,"0643"
"Congressional District 44",844756,"0644"
"Congressional District 45",914209,"0645"
"Congressional District 46",648663,"0646"
"Congressional District 47",631422,"0647"
"Congressional District 48",727833,"0648"
"Congressional District 49",797428,"0649"
"Congressional District 50",753135,"0650"
"Congressional District 51",757891,"0651"
"Congressional District 52",673893,"0652"
"Congressional District 53",662854,"0653"
"Congressional District 1",662039,"0801"
"Congressional District 2",733805,"0802"
"Congressional District 3",706186,"0803"
"Congressional District 4",725041,"0804"
"Congressional District 5",725902,"0805"
"Congressional District 6",797813,"0806"
"Congressional District 7",678410,"0807"
"Congressional District 1",710951,"0901"
"Congressional District 2",729771,"0902"
"Congressional District 3",712339,"0903"
"Congressional District 4",706740,"0904"
"Congressional District 5",714296,"0905"
"Congressional District (at Large)",897934,"1000"
"Delegate District (at Large)",601723,"1198"
"Congressional District 1",694158,"1201"
"Congressional District 2",737519,"1202"
"Congressional District 3",659055,"1203"
"Congressional District 4",744418,"1204"
"Congressional District 5",929533,"1205"
