"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Abbeville, LA Micro Area",57999,56618,46305,8246,195,1148,4,53,667,1381,617,40,14,12,1,550,147,"10020"
"Aberdeen, SD Micro Area",40602,40048,37774,192,1095,358,42,17,570,554,264,7,28,2,0,152,101,"10100"
"Aberdeen, WA Micro Area",72797,66525,59282,762,3005,995,177,72,2232,6272,2543,41,320,37,5,2745,581,"10140"
"Abilene, TX Metro Area",165252,130144,112735,11549,655,2110,113,170,2812,35108,18773,635,429,99,19,13098,2055,"10180"
"Ada, OK Micro Area",37492,35969,25973,879,6331,244,17,12,2513,1523,714,23,181,0,0,413,192,"10220"
"Adrian, MI Micro Area",99892,92278,87483,2397,379,492,21,47,1459,7614,4691,142,96,27,5,1920,733,"10300"
"Akron, OH Metro Area",703200,692467,579151,83984,1175,14124,151,900,12982,10733,6272,823,136,66,22,2115,1299,"10420"
"Alamogordo, NM Micro Area",63797,41771,33716,2048,3737,716,131,78,1345,22026,12636,203,534,33,22,7274,1324,"10460"
"Albany, GA Metro Area",157308,154038,68820,81671,314,1455,77,125,1576,3270,1243,358,54,26,71,1223,295,"10500"
"Albany-Lebanon, OR Micro Area",116672,107545,101579,456,1268,1078,150,126,2888,9127,4090,78,220,33,12,3762,932,"10540"
"Albany-Schenectady-Troy, NY Metro Area",870716,834689,721505,62963,1560,26983,232,3775,17671,36027,17691,4398,512,209,55,9451,3711,"10580"
"Albemarle, NC Micro Area",60585,58419,49877,6590,175,1108,10,47,612,2166,746,40,22,10,32,1224,92,"10620"
"Albert Lea, MN Micro Area",31255,28505,27701,200,55,232,10,17,290,2750,1420,31,13,6,8,1044,228,"10660"
"Albertville, AL Micro Area",93019,81781,78060,1389,570,475,63,63,1161,11238,3404,105,136,3,40,7147,403,"10700"
"Albuquerque, NM Metro Area",887077,472855,374214,19766,44655,16769,643,1871,14937,414222,243415,3976,7332,1155,284,134696,23364,"10740"
"Alexander City, AL Micro Area",53155,51883,36442,14606,159,211,2,29,434,1272,293,59,2,2,21,819,76,"10760"
"Alexandria, LA Metro Area",153922,149573,98984,45378,1173,1598,34,141,2265,4349,2538,205,90,20,10,1188,298,"10780"
"Alexandria, MN Micro Area",36009,35668,34974,146,94,163,3,7,281,341,212,4,11,1,1,66,46,"10820"
"Alice, TX Micro Area",40838,8584,8062,156,97,134,4,28,103,32254,27558,81,173,17,5,3864,556,"10860"
"Allegan, MI Micro Area",111408,103954,99945,1264,543,620,21,68,1493,7454,3568,94,93,28,1,3014,656,"10880"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); Allentown-Bethlehem-Easton, PA-NJ Metro Area (part)",821173,714575,645741,34917,978,20167,182,1153,11437,106598,48096,6303,1188,267,99,42668,7977,"10900"
"Alma, MI Micro Area",42476,40175,37144,2341,172,145,8,16,349,2301,1343,13,25,1,2,686,231,"10940"
"Alpena, MI Micro Area",29598,29294,28623,78,150,148,10,2,283,304,222,1,6,4,3,40,28,"10980"
"Altoona, PA Metro Area",127089,125859,121495,2051,125,689,26,52,1421,1230,743,78,18,17,3,245,126,"11020"
"Altus, OK Micro Area",26446,20908,17403,1918,407,303,52,38,787,5538,1852,67,72,9,4,3037,497,"11060"
"Amarillo, TX Metro Area",249881,186765,160881,14570,1257,6319,72,259,3407,63116,38524,708,651,206,32,19896,3099,"11100"
"Americus, GA Micro Area",37829,35951,17025,18061,97,454,9,12,293,1878,485,109,11,3,12,1124,134,"11140"
"Ames, IA Metro Area",89542,86847,77812,2125,134,5369,17,112,1278,2695,1532,71,29,14,3,806,240,"11180"
"Amsterdam, NY Micro Area",50219,44565,42732,712,103,356,11,53,598,5654,2787,239,66,13,8,2158,383,"11220"
"Anchorage, AK Metro Area",380821,355459,256490,16125,26782,24283,5990,683,25106,25362,11548,957,1249,393,132,6803,4280,"11260"
"Anderson, IN Metro Area",131636,127447,113577,10887,253,547,41,178,1964,4189,1875,76,67,6,4,1795,366,"11300"
"Anderson, SC Metro Area",187126,181679,147362,29810,420,1384,29,183,2491,5447,2456,210,58,21,14,2317,371,"11340"
"Andrews, TX Micro Area",14786,7591,7083,199,95,85,1,17,111,7195,4666,23,47,6,0,2272,181,"11380"
"Angola, IN Micro Area",34185,33203,32513,155,81,162,6,12,274,982,585,24,12,5,5,308,43,"11420"
"Ann Arbor, MI Metro Area",344791,330931,248675,43152,976,27005,118,846,10159,13860,8205,615,198,104,10,3313,1415,"11460"
"Anniston-Oxford, AL Metro Area",118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271,"11500"
"Appleton, WI Metro Area",225666,217617,203691,1918,2898,6235,69,120,2686,8049,3734,64,287,25,12,3313,614,"11540"
"Arcadia, FL Micro Area",34862,24437,19549,4338,62,169,4,29,286,10425,3545,93,75,9,7,6149,547,"11580"
"Ardmore, OK Micro Area",56980,53339,41684,3297,4641,547,8,20,3142,3641,1122,79,194,4,1,1782,459,"11620"
"Arkadelphia, AR Micro Area",22995,22069,16177,5366,84,120,5,24,293,926,341,47,14,0,0,473,51,"11660"
"Asheville, NC Metro Area",424858,397758,366448,18976,1409,3664,452,487,6322,27100,13098,323,339,60,38,11651,1591,"11700"
"Ashland, OH Micro Area",53139,52638,51352,395,77,275,39,23,477,501,340,3,12,0,0,96,50,"11740"
"Ashtabula, OH Micro Area",101497,98056,92126,3467,208,372,17,36,1830,3441,1915,119,33,3,5,1050,316,"11780"
"Astoria, OR Micro Area",37039,34201,32295,163,308,445,84,48,858,2838,1385,32,54,12,2,1160,193,"11820"
"Atchison, KS Micro Area",16924,16541,15152,844,86,70,8,16,365,383,243,9,7,0,0,73,51,"11860"
"Athens, OH Micro Area",64757,63755,58779,1741,140,1741,13,67,1274,1002,669,33,22,6,3,170,99,"11900"
"Athens, TN Micro Area",52266,50784,47273,2021,158,385,8,42,897,1482,681,45,20,3,3,586,144,"11940"
"Athens, TX Micro Area",78532,70042,63494,4813,349,318,27,76,965,8490,3901,74,84,10,5,3955,461,"11980"
"Athens-Clarke County, GA Metro Area",192541,177228,130515,37182,268,6065,54,355,2789,15313,7023,362,137,69,38,6861,823,"12020"
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,4721460,2671757,1679979,10734,252510,2075,13732,90673,547400,248723,27934,7229,1797,574,225725,35418,"12060"
"Atlantic City-Hammonton, NJ Metro Area",274549,228308,160871,40882,488,20419,60,463,5125,46241,18695,3256,562,176,32,19755,3765,"12100"
"Auburn, IN Micro Area",42223,41192,40406,141,84,186,17,19,339,1031,525,7,15,6,0,330,148,"12140"
"Auburn, NY Micro Area",80026,78130,73098,3009,252,387,26,112,1246,1896,944,186,31,3,5,542,185,"12180"
