"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Abbeville, LA Micro Area",57999,46305,8246,1148,1381,919,0.7983758340661046,0.14217486508388075,0.019793444714564044,0.023810755357850998,0.015845100777599614,0.4283636962177761,0.4456622042298475,0.4499394303890875,0.3411725355745999,"10020"
"Aberdeen, SD Micro Area",40602,37774,192,358,554,1724,0.9303482587064676,0.00472883109206443,0.008817299640411802,0.013644648046894243,0.042460962514161864,0.203138190183998,0.1139422267953139,0.13907356522371395,0.13236290114744487,"10100"
"Aberdeen, WA Micro Area",72797,59282,762,995,6272,5486,0.8143467450581755,0.010467464318584557,0.013668145665343351,0.08615739659601357,0.07536024836188304,0.422324258563635,0.32174187107388896,0.3497544402778256,0.3234407287765976,"10140"
"Abilene, TX Metro Area",165252,112735,11549,2110,35108,3750,0.6822005179967565,0.06988720257546051,0.012768377992399486,0.2124512865199816,0.02269261491540193,0.5700996734202988,0.5972673004446067,0.5998958533560835,0.4839046967688828,"10180"
"Ada, OK Micro Area",37492,25973,879,244,1523,8873,0.6927611223727729,0.023445001600341405,0.006508055051744372,0.04062199935986344,0.23666382161527794,0.5257981611240361,0.2825867296489511,0.36441019731734814,0.4618300931546786,"10220"
"Adrian, MI Micro Area",99892,87483,2397,492,7614,1906,0.8757758379049373,0.02399591558883594,0.0049253193448924835,0.07622232010571417,0.01908060705562007,0.31289479469096093,0.30087710988628186,0.30876778700904217,0.22624270735840046,"10300"
"Akron, OH Metro Area",703200,579151,83984,14124,10733,15208,0.8235935722411831,0.11943117178612059,0.02008532423208191,0.015263083048919227,0.021626848691695108,0.3969533516424145,0.3941324591633785,0.4010391658075625,0.30632572043080164,"10420"
"Alamogordo, NM Micro Area",63797,33716,2048,716,22026,5291,0.5284888004138125,0.032101822969732116,0.01122309826480869,0.3452513441070897,0.08293493424455696,0.6657412935731514,0.6179312356879558,0.6239556959679579,0.5934664089386268,"10460"
"Albany, GA Metro Area",157308,68820,81671,1455,3270,2092,0.43748569684949273,0.519178935591324,0.00924937066137768,0.02078724540392097,0.013298751493884608,0.5488162309429749,0.5940848817574486,0.5957132436993526,0.5383649806699631,"10500"
"Albany-Lebanon, OR Micro Area",116672,101579,456,1078,9127,4432,0.8706373422929238,0.003908392759188152,0.009239577619308832,0.07822785244103127,0.037986834887548,0.316341238103623,0.26067059821505084,0.27764308609045885,0.23432737635426149,"10540"
"Albany-Schenectady-Troy, NY Metro Area",870716,721505,62963,26983,36027,23238,0.8286341355849669,0.072311752626574,0.030989438576987216,0.04137629261435417,0.026688380597117773,0.4236648211860894,0.41416186937470884,0.42210094358631933,0.30475186722270575,"10580"
"Albemarle, NC Micro Area",60585,49877,6590,1108,2166,844,0.8232565816621276,0.10877279854749526,0.018288355203433193,0.03575142361970785,0.013930840967236114,0.40587767851653306,0.42419430662000335,0.42826357811589,0.3086103824891975,"10620"
"Albert Lea, MN Micro Area",31255,27701,200,232,2750,372,0.8862901935690289,0.00639897616381379,0.007422812350023996,0.0879859222524396,0.011902095664693649,0.2748169959264736,0.2757575849666747,0.2810097420843395,0.20651046534842066,"10660"
"Albertville, AL Micro Area",93019,78060,1389,475,11238,1857,0.8391833926402132,0.014932433158817015,0.0051064836216256895,0.12081402724174631,0.019963663337597696,0.354368113512083,0.347732415164211,0.3550464293626728,0.28052760274961486,"10700"
"Albuquerque, NM Metro Area",887077,374214,19766,16769,414222,62106,0.42185063979789805,0.02228216941708555,0.018903657743352606,0.4669515724114141,0.07001196063024968,0.6621221257259026,0.6298100794509988,0.6344081236361293,0.5982427487433108,"10740"
"Alexander City, AL Micro Area",53155,36442,14606,211,1272,624,0.6855799078167623,0.27478129997178063,0.003969523092841689,0.023930015990969805,0.011739253127645564,0.4829046741867461,0.5206902267292497,0.522995893370569,0.45374921434087045,"10760"
"Alexandria, LA Metro Area",153922,98984,45378,1598,4349,3613,0.6430789620716987,0.29481165785267865,0.010381881732305974,0.028254570496745103,0.02347292784657164,0.5469358898208619,0.5680469712635142,0.5714450871795813,0.49807845237099235,"10780"
"Alexandria, MN Micro Area",36009,34974,146,163,341,385,0.9712571857035741,0.004054541920075537,0.004526646116248716,0.009469854758532589,0.010691771501569053,0.10422272905792711,0.0791728207001366,0.08599742807028787,0.056418557256940005,"10820"
"Alice, TX Micro Area",40838,8062,156,134,32254,232,0.19741417307409764,0.0038199715950830108,0.003281257652186689,0.7898036142808169,0.00568098339781576,0.3579354348015595,0.3925046267106783,0.39436111539429,0.3371802627312952,"10860"
"Allegan, MI Micro Area",111408,99945,1264,620,7454,2125,0.8971079276174063,0.011345684331466321,0.005565129972712911,0.06690722389774523,0.01907403418066925,0.2694001670300439,0.24941655367664162,0.2582861188338096,0.19019727559181165,"10880"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); Allentown-Bethlehem-Easton, PA-NJ Metro Area (part)",821173,645741,34917,20167,106598,13750,0.7863641400776694,0.04252088171432816,0.024558771416011,0.1298118666833907,0.016744340108600746,0.4646377333048477,0.4861945823682641,0.4900303707966928,0.36208878690718094,"10900"
"Alma, MI Micro Area",42476,37144,2341,145,2301,545,0.8744702891044355,0.05511347584518316,0.003413692438082682,0.054171767586401735,0.012830775025896976,0.31704224945760134,0.32270348880309596,0.32775876781053603,0.22915335576660545,"10940"
"Alpena, MI Micro Area",29598,28623,78,148,304,445,0.9670585850395297,0.002635313196837624,0.005000337860666261,0.01027096425434151,0.015034799648624907,0.1147407560097956,0.07809872132838802,0.08768789788678542,0.06443420693978819,"10980"
