"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Abbeville, LA Micro Area",57999,46305,8246,1148,1381,919,"10020"
"Aberdeen, SD Micro Area",40602,37774,192,358,554,1724,"10100"
"Aberdeen, WA Micro Area",72797,59282,762,995,6272,5486,"10140"
"Abilene, TX Metro Area",165252,112735,11549,2110,35108,3750,"10180"
"Ada, OK Micro Area",37492,25973,879,244,1523,8873,"10220"
"Adrian, MI Micro Area",99892,87483,2397,492,7614,1906,"10300"
"Akron, OH Metro Area",703200,579151,83984,14124,10733,15208,"10420"
"Alamogordo, NM Micro Area",63797,33716,2048,716,22026,5291,"10460"
"Albany, GA Metro Area",157308,68820,81671,1455,3270,2092,"10500"
"Albany-Lebanon, OR Micro Area",116672,101579,456,1078,9127,4432,"10540"
"Albany-Schenectady-Troy, NY Metro Area",870716,721505,62963,26983,36027,23238,"10580"
"Albemarle, NC Micro Area",60585,49877,6590,1108,2166,844,"10620"
"Albert Lea, MN Micro Area",31255,27701,200,232,2750,372,"10660"
"Albertville, AL Micro Area",93019,78060,1389,475,11238,1857,"10700"
"Albuquerque, NM Metro Area",887077,374214,19766,16769,414222,62106,"10740"
"Alexander City, AL Micro Area",53155,36442,14606,211,1272,624,"10760"
"Alexandria, LA Metro Area",153922,98984,45378,1598,4349,3613,"10780"
"Alexandria, MN Micro Area",36009,34974,146,163,341,385,"10820"
"Alice, TX Micro Area",40838,8062,156,134,32254,232,"10860"
"Allegan, MI Micro Area",111408,99945,1264,620,7454,2125,"10880"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); Allentown-Bethlehem-Easton, PA-NJ Metro Area (part)",821173,645741,34917,20167,106598,13750,"10900"
"Alma, MI Micro Area",42476,37144,2341,145,2301,545,"10940"
"Alpena, MI Micro Area",29598,28623,78,148,304,445,"10980"
"Altoona, PA Metro Area",127089,121495,2051,689,1230,1624,"11020"
"Altus, OK Micro Area",26446,17403,1918,303,5538,1284,"11060"
"Amarillo, TX Metro Area",249881,160881,14570,6319,63116,4995,"11100"
"Americus, GA Micro Area",37829,17025,18061,454,1878,411,"11140"
"Ames, IA Metro Area",89542,77812,2125,5369,2695,1541,"11180"
"Amsterdam, NY Micro Area",50219,42732,712,356,5654,765,"11220"
"Anchorage, AK Metro Area",380821,256490,16125,24283,25362,58561,"11260"
"Anderson, IN Metro Area",131636,113577,10887,547,4189,2436,"11300"
"Anderson, SC Metro Area",187126,147362,29810,1384,5447,3123,"11340"
"Andrews, TX Micro Area",14786,7083,199,85,7195,224,"11380"
"Angola, IN Micro Area",34185,32513,155,162,982,373,"11420"
"Ann Arbor, MI Metro Area",344791,248675,43152,27005,13860,12099,"11460"
"Anniston-Oxford, AL Metro Area",118572,87285,24177,830,3893,2387,"11500"
"Appleton, WI Metro Area",225666,203691,1918,6235,8049,5773,"11540"
"Arcadia, FL Micro Area",34862,19549,4338,169,10425,381,"11580"
"Ardmore, OK Micro Area",56980,41684,3297,547,3641,7811,"11620"
"Arkadelphia, AR Micro Area",22995,16177,5366,120,926,406,"11660"
"Asheville, NC Metro Area",424858,366448,18976,3664,27100,8670,"11700"
"Ashland, OH Micro Area",53139,51352,395,275,501,616,"11740"
"Ashtabula, OH Micro Area",101497,92126,3467,372,3441,2091,"11780"
"Astoria, OR Micro Area",37039,32295,163,445,2838,1298,"11820"
"Atchison, KS Micro Area",16924,15152,844,70,383,475,"11860"
"Athens, OH Micro Area",64757,58779,1741,1741,1002,1494,"11900"
"Athens, TN Micro Area",52266,47273,2021,385,1482,1105,"11940"
"Athens, TX Micro Area",78532,63494,4813,318,8490,1417,"11980"
"Athens-Clarke County, GA Metro Area",192541,130515,37182,6065,15313,3466,"12020"
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,2671757,1679979,252510,547400,117214,"12060"
"Atlantic City-Hammonton, NJ Metro Area",274549,160871,40882,20419,46241,6136,"12100"
"Auburn, IN Micro Area",42223,40406,141,186,1031,459,"12140"
"Auburn, NY Micro Area",80026,73098,3009,387,1896,1636,"12180"
"Auburn-Opelika, AL Metro Area",140247,97900,31674,3615,4571,2487,"12220"
"Augusta-Richmond County, GA-SC Metro Area (part); Augusta-Richmond County, GA-SC Metro Area (part)",556877,314669,194573,9558,24712,13365,"12260"
"Augusta-Waterville, ME Micro Area",122151,116549,642,886,1504,2570,"12300"
"Austin, MN Micro Area",39163,32975,791,636,4138,623,"12380"
"Austin-Round Rock-San Marcos, TX Metro Area",1716289,938474,120510,80980,538313,38012,"12420"
"Bainbridge, GA Micro Area",27842,14615,11366,138,1404,319,"12460"
"Bakersfield-Delano, CA Metro Area",839631,323794,45377,33100,413033,24327,"12540"
"Baltimore-Towson, MD Metro Area",2710489,1626199,769641,122153,123754,68742,"12580"
"Bangor, ME Metro Area",153923,145700,1117,1405,1620,4081,"12620"
"Baraboo, WI Micro Area",61976,57331,330,332,2675,1308,"12660"
"Barnstable Town, MA Metro Area",215888,197327,3857,2263,4687,7754,"12700"
"Barre, VT Micro Area",59534,56473,411,495,995,1160,"12740"
"Bartlesville, OK Micro Area",50976,38691,1194,552,2556,7983,"12780"
"Bastrop, LA Micro Area",27979,14251,13078,98,255,297,"12820"
"Batavia, NY Micro Area",60079,54990,1491,355,1616,1627,"12860"
"Batesville, AR Micro Area",36647,32914,709,276,2139,609,"12900"
"Baton Rouge, LA Metro Area",802484,465308,284561,14222,27357,11036,"12940"
"Battle Creek, MI Metro Area",136146,108664,14630,2154,6177,4521,"12980"
"Bay City, MI Metro Area",107771,98241,1574,566,5093,2297,"13020"
"Bay City, TX Micro Area",36702,17400,4060,693,14074,475,"13060"
"Beatrice, NE Micro Area",22311,21432,72,81,385,341,"13100"
"Beaumont-Port Arthur, TX Metro Area",388745,228486,94603,9591,50049,6016,"13140"
"Beaver Dam, WI Micro Area",88759,81325,2361,460,3522,1091,"13180"
"Beckley, WV Micro Area",78859,69246,6390,715,996,1512,"13220"
"Bedford, IN Micro Area",46134,44562,181,224,545,622,"13260"
"Beeville, TX Micro Area",31861,10967,2525,162,17906,301,"13300"
"Bellefontaine, OH Micro Area",45858,43385,728,238,539,968,"13340"
"Bellingham, WA Metro Area",201140,164675,1789,6988,15756,11932,"13380"
"Bemidji, MN Micro Area",44442,33066,251,304,676,10145,"13420"
"Bend, OR Metro Area",157733,139470,524,1412,11718,4609,"13460"
"Bennettsville, SC Micro Area",28933,11657,14652,74,800,1750,"13500"
"Bennington, VT Micro Area",37125,35517,291,264,525,528,"13540"
"Berlin, NH-VT Micro Area (part); Berlin, NH-VT Micro Area (part)",39361,37895,157,187,460,662,"13620"
"Big Rapids, MI Micro Area",42798,39633,1055,277,731,1102,"13660"
"Big Spring, TX Micro Area",35012,18801,2079,256,13255,621,"13700"
"Billings, MT Metro Area",158050,140131,882,937,7143,8957,"13740"
"Binghamton, NY Metro Area",251725,222179,9199,7390,7472,5485,"13780"
"Birmingham-Hoover, AL Metro Area",1128047,733656,317019,13748,48530,15094,"13820"
"Bishop, CA Micro Area",18546,12296,102,229,3597,2322,"13860"
"Bismarck, ND Metro Area",108779,100591,588,439,1386,5775,"13900"
"Blackfoot, ID Micro Area",45607,34176,78,268,7864,3221,"13940"
"Blacksburg-Christiansburg-Radford, VA Metro Area",162958,143718,6896,5573,3562,3209,"13980"
"Bloomington, IN Metro Area",192714,172163,4477,7351,4549,4174,"14020"
"Bloomington-Normal, IL Metro Area",169572,138835,12246,7180,7434,3877,"14060"
"Bloomsburg-Berwick, PA Micro Area",85562,80706,1427,870,1673,886,"14100"
"Bluefield, WV-VA Micro Area (part); Bluefield, WV-VA Micro Area (part)",107342,99403,5070,609,776,1484,"14140"
"Blytheville, AR Micro Area",46480,28106,15761,229,1695,689,"14180"
"Bogalusa, LA Micro Area",47168,31019,14561,108,887,593,"14220"
"Boise City-Nampa, ID Metro Area",616561,505202,5108,10799,77538,17914,"14260"
"Bonham, TX Micro Area",33915,27433,2273,122,3226,861,"14300"
"Boone, IA Micro Area",26306,25194,202,87,505,318,"14340"
