"NAME","P0050001","FIPS"
"Abbeville, LA Micro Area",57999,"10020"
"Aberdeen, SD Micro Area",40602,"10100"
"Aberdeen, WA Micro Area",72797,"10140"
"Abilene, TX Metro Area",165252,"10180"
"Ada, OK Micro Area",37492,"10220"
"Adrian, MI Micro Area",99892,"10300"
"Akron, OH Metro Area",703200,"10420"
"Alamogordo, NM Micro Area",63797,"10460"
"Albany, GA Metro Area",157308,"10500"
"Albany-Lebanon, OR Micro Area",116672,"10540"
"Albany-Schenectady-Troy, NY Metro Area",870716,"10580"
"Albemarle, NC Micro Area",60585,"10620"
"Albert Lea, MN Micro Area",31255,"10660"
"Albertville, AL Micro Area",93019,"10700"
"Albuquerque, NM Metro Area",887077,"10740"
"Alexander City, AL Micro Area",53155,"10760"
"Alexandria, LA Metro Area",153922,"10780"
"Alexandria, MN Micro Area",36009,"10820"
"Alice, TX Micro Area",40838,"10860"
"Allegan, MI Micro Area",111408,"10880"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area (part); Allentown-Bethlehem-Easton, PA-NJ Metro Area (part)",821173,"10900"
"Alma, MI Micro Area",42476,"10940"
"Alpena, MI Micro Area",29598,"10980"
"Altoona, PA Metro Area",127089,"11020"
"Altus, OK Micro Area",26446,"11060"
"Amarillo, TX Metro Area",249881,"11100"
"Americus, GA Micro Area",37829,"11140"
"Ames, IA Metro Area",89542,"11180"
"Amsterdam, NY Micro Area",50219,"11220"
"Anchorage, AK Metro Area",380821,"11260"
"Anderson, IN Metro Area",131636,"11300"
"Anderson, SC Metro Area",187126,"11340"
"Andrews, TX Micro Area",14786,"11380"
"Angola, IN Micro Area",34185,"11420"
"Ann Arbor, MI Metro Area",344791,"11460"
"Anniston-Oxford, AL Metro Area",118572,"11500"
"Appleton, WI Metro Area",225666,"11540"
"Arcadia, FL Micro Area",34862,"11580"
"Ardmore, OK Micro Area",56980,"11620"
"Arkadelphia, AR Micro Area",22995,"11660"
"Asheville, NC Metro Area",424858,"11700"
"Ashland, OH Micro Area",53139,"11740"
"Ashtabula, OH Micro Area",101497,"11780"
"Astoria, OR Micro Area",37039,"11820"
"Atchison, KS Micro Area",16924,"11860"
"Athens, OH Micro Area",64757,"11900"
"Athens, TN Micro Area",52266,"11940"
"Athens, TX Micro Area",78532,"11980"
"Athens-Clarke County, GA Metro Area",192541,"12020"
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,"12060"
"Atlantic City-Hammonton, NJ Metro Area",274549,"12100"
"Auburn, IN Micro Area",42223,"12140"
"Auburn, NY Micro Area",80026,"12180"
"Auburn-Opelika, AL Metro Area",140247,"12220"
"Augusta-Richmond County, GA-SC Metro Area (part); Augusta-Richmond County, GA-SC Metro Area (part)",556877,"12260"
"Augusta-Waterville, ME Micro Area",122151,"12300"
"Austin, MN Micro Area",39163,"12380"
"Austin-Round Rock-San Marcos, TX Metro Area",1716289,"12420"
"Bainbridge, GA Micro Area",27842,"12460"
"Bakersfield-Delano, CA Metro Area",839631,"12540"
"Baltimore-Towson, MD Metro Area",2710489,"12580"
"Bangor, ME Metro Area",153923,"12620"
"Baraboo, WI Micro Area",61976,"12660"
"Barnstable Town, MA Metro Area",215888,"12700"
"Barre, VT Micro Area",59534,"12740"
"Bartlesville, OK Micro Area",50976,"12780"
"Bastrop, LA Micro Area",27979,"12820"
"Batavia, NY Micro Area",60079,"12860"
"Batesville, AR Micro Area",36647,"12900"
"Baton Rouge, LA Metro Area",802484,"12940"
"Battle Creek, MI Metro Area",136146,"12980"
"Bay City, MI Metro Area",107771,"13020"
"Bay City, TX Micro Area",36702,"13060"
"Beatrice, NE Micro Area",22311,"13100"
"Beaumont-Port Arthur, TX Metro Area",388745,"13140"
"Beaver Dam, WI Micro Area",88759,"13180"
"Beckley, WV Micro Area",78859,"13220"
"Bedford, IN Micro Area",46134,"13260"
"Beeville, TX Micro Area",31861,"13300"
"Bellefontaine, OH Micro Area",45858,"13340"
"Bellingham, WA Metro Area",201140,"13380"
"Bemidji, MN Micro Area",44442,"13420"
"Bend, OR Metro Area",157733,"13460"
"Bennettsville, SC Micro Area",28933,"13500"
"Bennington, VT Micro Area",37125,"13540"
"Berlin, NH-VT Micro Area (part); Berlin, NH-VT Micro Area (part)",39361,"13620"
"Big Rapids, MI Micro Area",42798,"13660"
"Big Spring, TX Micro Area",35012,"13700"
"Billings, MT Metro Area",158050,"13740"
"Binghamton, NY Metro Area",251725,"13780"
"Birmingham-Hoover, AL Metro Area",1128047,"13820"
"Bishop, CA Micro Area",18546,"13860"
"Bismarck, ND Metro Area",108779,"13900"
"Blackfoot, ID Micro Area",45607,"13940"
"Blacksburg-Christiansburg-Radford, VA Metro Area",162958,"13980"
"Bloomington, IN Metro Area",192714,"14020"
"Bloomington-Normal, IL Metro Area",169572,"14060"
"Bloomsburg-Berwick, PA Micro Area",85562,"14100"
"Bluefield, WV-VA Micro Area (part); Bluefield, WV-VA Micro Area (part)",107342,"14140"
"Blytheville, AR Micro Area",46480,"14180"
"Bogalusa, LA Micro Area",47168,"14220"
"Boise City-Nampa, ID Metro Area",616561,"14260"
"Bonham, TX Micro Area",33915,"14300"
"Boone, IA Micro Area",26306,"14340"
"Boone, NC Micro Area",51079,"14380"
"Borger, TX Micro Area",22150,"14420"
"Boston-Cambridge-Quincy, MA-NH Metro Area (part); Boston-Cambridge-Quincy, MA-NH Metro Area (part)",4552402,"14460"
"Boulder, CO Metro Area",294567,"14500"
"Bowling Green, KY Metro Area",125953,"14540"
"Bozeman, MT Micro Area",89513,"14580"
"Bradford, PA Micro Area",43450,"14620"
"Brainerd, MN Micro Area",91067,"14660"
"Branson, MO Micro Area",83877,"14700"
"Bremerton-Silverdale, WA Metro Area",251133,"14740"
"Brenham, TX Micro Area",33718,"14780"
"Brevard, NC Micro Area",33090,"14820"
"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,"14860"
"Brigham City, UT Micro Area",49975,"14940"
"Brookhaven, MS Micro Area",34869,"15020"
"Brookings, OR Micro Area",22364,"15060"
"Brookings, SD Micro Area",31965,"15100"
"Brownsville, TN Micro Area",18787,"15140"
"Brownsville-Harlingen, TX Metro Area",406220,"15180"
"Brownwood, TX Micro Area",38106,"15220"
"Brunswick, GA Metro Area",112370,"15260"
"Bucyrus, OH Micro Area",43784,"15340"
"Buffalo-Niagara Falls, NY Metro Area",1135509,"15380"
"Burley, ID Micro Area",43021,"15420"
"Burlington, IA-IL Micro Area (part); Burlington, IA-IL Micro Area (part)",47656,"15460"
"Burlington, NC Metro Area",151131,"15500"
"Burlington-South Burlington, VT Metro Area",211261,"15540"
"Butte-Silver Bow, MT Micro Area",34200,"15580"
"Cadillac, MI Micro Area",47584,"15620"
"Calhoun, GA Micro Area",55186,"15660"
"Cambridge, MD Micro Area",32618,"15700"
"Cambridge, OH Micro Area",40087,"15740"
"Camden, AR Micro Area",31488,"15780"
"Campbellsville, KY Micro Area",24512,"15820"
"Cañon City, CO Micro Area",46824,"15860"
"Canton, IL Micro Area",37069,"15900"
"Canton-Massillon, OH Metro Area",404422,"15940"
"Cape Coral-Fort Myers, FL Metro Area",618754,"15980"
"Cape Girardeau-Jackson, MO-IL Metro Area (part); Cape Girardeau-Jackson, MO-IL Metro Area (part)",96275,"16020"
"Carbondale, IL Micro Area",60218,"16060"
"Carlsbad-Artesia, NM Micro Area",53829,"16100"
"Carson City, NV Metro Area",55274,"16180"
"Casper, WY Metro Area",75450,"16220"
"Cedar City, UT Micro Area",46163,"16260"
"Cedar Rapids, IA Metro Area",257940,"16300"
"Cedartown, GA Micro Area",41475,"16340"
