"NAME","P0050001","P0050002","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","P0050010","P0050011","P0050012","P0050013","P0050014","P0050015","P0050016","P0050017","FIPS"
"Alabama",4779736,4594134,3204402,1244437,25907,52937,1976,4030,60445,185602,70992,6874,2311,658,1081,92880,10806,"01"
"Alaska",710231,670982,455320,21949,102556,37459,7219,1111,45368,39249,18256,1314,2315,676,190,9991,6507,"02"
"Arizona",6392017,4496868,3695647,239101,257426,170509,10959,8595,114631,1895149,971474,19907,39103,6186,1689,753121,103669,"04"
"Arkansas",2915918,2729868,2173469,447102,20183,35647,5509,2121,45837,186050,71760,2793,2065,455,354,97450,11173,"05"
"California",37253956,23240237,14956253,2163804,162250,4775070,128577,85587,968696,14013719,6497681,135268,200551,85937,15809,6231785,846688,"06"
"Colorado",5029196,3990509,3520793,188778,31244,135564,5661,7622,100847,1038687,568409,12959,24766,3464,962,356518,71609,"08"
"Connecticut",3574097,3095010,2546262,335119,6885,134091,958,12190,59505,479087,226148,27177,4371,1474,470,186276,33171,"09"
"Delaware",897934,824713,586752,186782,2824,28308,238,1525,18284,73221,31865,5032,1357,241,162,28994,5570,"10"
"District of Columbia",601723,546974,209464,301053,1322,20818,216,1451,12650,54749,22007,4072,757,238,86,22923,4666,"11"
"Florida",18801310,14577504,10884722,2851100,47265,445216,9725,48462,291014,4223806,3224440,148762,24193,9605,2561,632682,181563,"12"
"Georgia",9687653,8833964,5413920,2910800,21279,311692,5152,19141,151980,853689,373520,39635,10872,2775,1647,369731,55509,"13"
"Hawaii",1360301,1239459,309343,19904,2823,513294,128222,1888,263985,120842,27256,1520,1341,11784,7200,15097,56644,"15"
"Idaho",1567582,1391681,1316243,8875,17556,18529,2153,1539,26786,175901,80244,935,3885,540,164,77984,12149,"16"
"Illinois",12830632,10803054,8167753,1832924,18849,580586,2977,16008,183957,2027578,1010124,33490,25114,6348,1073,845404,106025,"17"
"Indiana",6483802,6094095,5286453,582140,14165,101444,1853,8675,99365,389707,181453,9257,4297,1030,495,164639,28536,"18"
"Iowa",3046355,2894811,2701123,86906,8581,52597,1797,2132,41675,151544,80438,2242,2503,497,206,54000,11658,"19"
"Kansas",2853118,2553076,2230539,162700,23073,66967,1978,2928,64891,300042,160505,5164,5077,795,260,107199,21042,"20"
"Kentucky",4339367,4206531,3745655,333075,8642,48338,2074,4634,64113,132836,63882,4445,1478,592,427,50917,11095,"21"
"Louisiana",4533372,4340812,2734884,1442420,28092,69327,1544,6779,57766,192560,101308,9976,2487,805,419,62448,15117,"22"
"Maine",1328361,1311426,1254297,15154,8210,13442,313,1014,18996,16935,10674,553,358,129,29,3247,1945,"23"
