"NAME","Total","White","Black","Asian","Hispanic","Other","p_White","p_Black","p_Asian","p_Hispanic","p_Other","entropy5","entropy4","entropy_rice","gini_simpson","FIPS"
"Alabama",4779736,3204402,1244437,52937,185602,92358,0.6704140144978719,0.2603568481606516,0.011075297882560878,0.03883101493471606,0.01932282452419966,0.5410011357847535,0.5702918516058281,0.5730751326182452,0.48075547928905815,"01"
"Alaska",710231,455320,21949,37459,39249,156254,0.6410871955743976,0.03090402981565153,0.052741995210009135,0.05526230198343919,0.22000447741650253,0.6466770833035441,0.47523478537298885,0.5104804807128862,0.5338145384491575,"02"
"Arizona",6392017,3695647,239101,170509,1895149,391611,0.5781660155159162,0.037406189626842355,0.02667530452437783,0.29648685227213883,0.061265638060724804,0.6635238290492983,0.6435291994060551,0.6469144812112133,0.5719553316313529,"04"
"Arkansas",2915918,2173469,447102,35647,186050,73650,0.7453807000059672,0.15333147228420005,0.012224966545698473,0.063804949247544,0.025257911916590246,0.5150247672655915,0.5262050092410039,0.5309018433131146,0.4160385881958625,"05"
"California",37253956,14956253,2163804,4775070,14013719,1345110,0.4014675112624281,0.05808252954397648,0.1281761861746978,0.3761672720073004,0.036106501011597264,0.7969941601550823,0.8436702676103988,0.8387776546977768,0.6762156265155197,"06"
"Colorado",5029196,3520793,188778,135564,1038687,145374,0.7000707468947323,0.03753641735179937,0.02695540201654499,0.20653142172227926,0.02890601201464409,0.5582323855211244,0.5701301490374385,0.5741969300650523,0.464274587327553,"08"
"Connecticut",3574097,2546262,335119,134091,479087,79538,0.7124210674752252,0.09376326383978946,0.03751744846320623,0.13404420752990195,0.022254012691877136,0.5845090237339938,0.6153296637645872,0.6175090260793044,0.46379402337917164,"09"
"Delaware",897934,586752,186782,28308,73221,22871,0.6534466898458016,0.20801306109357703,0.03152570233447002,0.0815438551163003,0.02547069160985106,0.6284899395623763,0.660917135970142,0.6622203380268034,0.5214459635980506,"10"
"District of Columbia",601723,209464,301053,20818,54749,15639,0.3481070193427873,0.5003182527508505,0.034597314711254185,0.09098704885802936,0.02599036433707869,0.7102876047309016,0.7573693038790454,0.7561873112419648,0.6183520327651193,"11"
"Florida",18801310,10884722,2851100,445216,4223806,396466,0.5789342338379613,0.1516436886578648,0.0236800520814773,0.22465487777181484,0.021087147650881773,0.6883934840146396,0.7410763645257727,0.7404988201141404,0.5903641178113888,"12"
"Georgia",9687653,5413920,2910800,311692,853689,197552,0.5588474318805597,0.3004649320119125,0.032174149920522546,0.08812134373516475,0.0203921424518405,0.6775446701214932,0.7296661153989245,0.7293454690278568,0.5881939858930044,"13"
"Hawaii",1360301,309343,19904,513294,120842,396918,0.22740775754777803,0.01463205569943711,0.37733854492498353,0.08883475054418102,0.29178689128362034,0.8331081961414046,0.7507620194804688,0.7079541103011929,0.7126560344377897,"15"
"Idaho",1567582,1316243,8875,18529,175901,48034,0.839664527916243,0.0056615858053996534,0.011820115311352134,0.11221167377527938,0.030642097191725854,0.3608289704929821,0.33022742629931323,0.3418700029197423,0.2812613140276302,"16"
"Illinois",12830632,8167753,1832924,580586,2027578,221791,0.6365822821510273,0.14285531686981592,0.04524999236202862,0.15802635443055338,0.017286054186574754,0.6631309614490914,0.7193465947465704,0.7192727843627152,0.5470366583206987,"17"
"Indiana",6483802,5286453,582140,101444,389707,124058,0.8153322695541906,0.08978374108277828,0.015645758460853677,0.060104703999289306,0.01913352690288815,0.43034216349227417,0.4397520287855484,0.44500705369751004,0.32294871300839223,"18"
"Iowa",3046355,2701123,86906,52597,151544,54185,0.8866737461654994,0.028527863627187244,0.017265551782375987,0.04974600793407203,0.017786830490865314,0.3101372269030385,0.30099844341826965,0.3083603317432146,0.20990669293507058,"19"
"Kansas",2853118,2230539,162700,66967,300042,92870,0.7817899575131487,0.05702533158460323,0.02347151432222572,0.1051628428967887,0.03255035368323357,0.4922145209246871,0.4836747615935165,0.49102473577373273,0.3728829128536385,"20"
"Kentucky",4339367,3745655,333075,48338,132836,79463,0.8631800444627062,0.07675658684780522,0.011139412730013386,0.03061183808606186,0.018312117873413334,0.3442925599283965,0.3400097295292097,0.34687114095940075,0.24763213240884918,"21"
"Louisiana",4533372,2734884,1442420,69327,192560,94181,0.6032780896868821,0.31817816848032765,0.015292590151436943,0.042476108292017506,0.020775043389335796,0.588918805294258,0.6237875976218176,0.6256576522407822,0.5323485140892465,"22"
"Maine",1328361,1254297,15154,13442,16935,28533,0.9442440722062753,0.011408043446021074,0.010119237165198317,0.012748793437928395,0.021479853744576963,0.18006071952583536,0.13715469864495236,0.14953546142639196,0.10754667383622718,"23"
"Maryland",5773552,3157958,1674229,316694,470632,154039,0.5469696990691346,0.28998249257995773,0.054852541381804475,0.08151515739357677,0.02668010957552647,0.7140896545873766,0.7605955818420872,0.7592893872736635,0.6063689518694309,"24"
"Massachusetts",6547629,4984800,391693,347495,627654,195987,0.7613137518940062,0.05982211270675232,0.053071882967101525,0.09585973792956198,0.029932514502577955,0.5354231320941732,0.5407668643214946,0.5458456764723891,0.40392101646632694,"25"
"Michigan",9883640,7569939,1383756,236490,436358,257097,0.7659059820066292,0.140004694626676,0.023927419452752226,0.04414952385963066,0.026012380054311973,0.4980104964933164,0.5042993955728567,0.5096991421349488,0.39058836643416217,"26"
"Minnesota",5303925,4405142,269141,212996,250258,166388,0.8305437953968052,0.05074374166301371,0.040158184740545916,0.04718354803282475,0.031370730166810426,0.42702399595462087,0.40794705447535284,0.41741993769943825,0.3027989868920865,"27"
"Mississippi",2967297,1722287,1093512,25477,81481,44540,0.5804228562223465,0.36852125014786186,0.008585928540351707,0.027459671209184654,0.01501029388025533,0.5506417390120502,0.5919491679876802,0.593809802596208,0.5262483355299622,"28"
"Missouri",5988927,4850748,687149,97221,212470,141339,0.8099527678330358,0.11473657969115336,0.016233458848304547,0.035477139728034755,0.023600053899471476,0.4305251240606209,0.42935572451658377,0.436044265674502,0.32873291598685994,"29"
"Montana",989415,868628,3743,6138,28565,82341,0.8779207915788623,0.003783043515612761,0.006203665802519671,0.028870595250728968,0.08322190385227635,0.2958724659957894,0.14919823134579824,0.19424326775899795,0.22144289027498454,"30"
"Nebraska",1826341,1499753,80959,31919,167405,46305,0.8211790678739622,0.044328523534214036,0.017477020994436418,0.09166141481793379,0.025353972779453563,0.42428146687407736,0.41790706901812336,0.425366655576372,0.3143498353219606,"31"
"Nevada",2700551,1462081,208058,191047,716501,122864,0.5414009955746069,0.07704279608124416,0.07074371119079033,0.2653165965019731,0.04549590065138559,0.7516221015451598,0.7743632902129489,0.7711931532515425,0.6234819235342909,"32"
"New Hampshire",1316470,1215050,13625,28241,36704,22850,0.922960644754533,0.010349647162487562,0.021452064991986146,0.027880620143261904,0.017357022947731435,0.23230783207261482,0.21018318600866703,0.21894618408394273,0.14649774672030746,"33"
"New Jersey",8791894,5214878,1125401,719827,1555144,176644,0.593146141206889,0.12800438676808432,0.08187393979044788,0.17688384323104897,0.020091689003529842,0.7224623482042596,0.7835174810791855,0.7821218012352141,0.5933976201594932,"34"
"New Mexico",2059179,833810,35462,26305,953403,210199,0.4049235156341435,0.01722142659768772,0.012774508675544962,0.46300151662385836,0.10207903246876547,0.6717805906933971,0.6037695567232673,0.6118786983005111,0.6107866476147721,"35"
