"NAME","Total","White","Black","Asian","Hispanic","Other","FIPS"
"Alabama",4779736,3204402,1244437,52937,185602,92358,"01"
"Alaska",710231,455320,21949,37459,39249,156254,"02"
"Arizona",6392017,3695647,239101,170509,1895149,391611,"04"
"Arkansas",2915918,2173469,447102,35647,186050,73650,"05"
"California",37253956,14956253,2163804,4775070,14013719,1345110,"06"
"Colorado",5029196,3520793,188778,135564,1038687,145374,"08"
"Connecticut",3574097,2546262,335119,134091,479087,79538,"09"
"Delaware",897934,586752,186782,28308,73221,22871,"10"
"District of Columbia",601723,209464,301053,20818,54749,15639,"11"
"Florida",18801310,10884722,2851100,445216,4223806,396466,"12"
"Georgia",9687653,5413920,2910800,311692,853689,197552,"13"
"Hawaii",1360301,309343,19904,513294,120842,396918,"15"
"Idaho",1567582,1316243,8875,18529,175901,48034,"16"
"Illinois",12830632,8167753,1832924,580586,2027578,221791,"17"
"Indiana",6483802,5286453,582140,101444,389707,124058,"18"
"Iowa",3046355,2701123,86906,52597,151544,54185,"19"
"Kansas",2853118,2230539,162700,66967,300042,92870,"20"
"Kentucky",4339367,3745655,333075,48338,132836,79463,"21"
"Louisiana",4533372,2734884,1442420,69327,192560,94181,"22"
"Maine",1328361,1254297,15154,13442,16935,28533,"23"
"Maryland",5773552,3157958,1674229,316694,470632,154039,"24"
"Massachusetts",6547629,4984800,391693,347495,627654,195987,"25"
"Michigan",9883640,7569939,1383756,236490,436358,257097,"26"
"Minnesota",5303925,4405142,269141,212996,250258,166388,"27"
"Mississippi",2967297,1722287,1093512,25477,81481,44540,"28"
"Missouri",5988927,4850748,687149,97221,212470,141339,"29"
"Montana",989415,868628,3743,6138,28565,82341,"30"
"Nebraska",1826341,1499753,80959,31919,167405,46305,"31"
"Nevada",2700551,1462081,208058,191047,716501,122864,"32"
"New Hampshire",1316470,1215050,13625,28241,36704,22850,"33"
"New Jersey",8791894,5214878,1125401,719827,1555144,176644,"34"
"New Mexico",2059179,833810,35462,26305,953403,210199,"35"
"New York",19378102,11304247,2783857,1406194,3416922,466882,"36"
"North Carolina",9535483,6223995,2019854,206579,800120,284935,"37"
"North Dakota",672591,598007,7720,6839,13467,46558,"38"
"Ohio",11536504,9359263,1389115,190765,354674,242687,"39"
"Oklahoma",3751351,2575381,272071,64154,332007,507738,"40"
"Oregon",3831074,3005848,64984,139436,450062,170744,"41"
"Pennsylvania",12702379,10094652,1327091,346288,719660,214688,"42"
"Rhode Island",1052567,803685,51560,29988,130655,36679,"44"
"South Carolina",4625364,2962740,1279998,58307,235682,88637,"45"
"South Dakota",814180,689502,9959,7553,22119,85047,"46"
"Tennessee",6346105,4800782,1049391,90311,290059,115562,"47"
"Texas",25145561,11397345,2886825,948426,9460921,452044,"48"
"Utah",2763885,2221719,25951,54176,358340,103699,"49"
"Vermont",625741,590223,5943,7875,9208,12492,"50"
"Virginia",8001024,5186450,1523704,436298,631825,222747,"51"
"Washington",6724540,4876804,229603,475634,755790,386709,"53"
"West Virginia",1852994,1726256,62122,12285,22268,30063,"54"
"Wisconsin",5686986,4738411,350898,128052,336056,133569,"55"
"Wyoming",563626,483874,4351,4279,50231,20891,"56"
