"NAME","P0050001","FIPS"
"Census Tract 201",1912,"01001020100"
"Census Tract 202",2170,"01001020200"
"Census Tract 203",3373,"01001020300"
"Census Tract 204",4386,"01001020400"
"Census Tract 205",10766,"01001020500"
"Census Tract 206",3668,"01001020600"
"Census Tract 207",2891,"01001020700"
"Census Tract 208.01",3081,"01001020801"
"Census Tract 208.02",10435,"01001020802"
"Census Tract 209",5675,"01001020900"
"Census Tract 210",2894,"01001021000"
"Census Tract 211",3320,"01001021100"
"Census Tract 101",3804,"01003010100"
"Census Tract 102",2902,"01003010200"
"Census Tract 103",7826,"01003010300"
"Census Tract 104",4736,"01003010400"
"Census Tract 105",4815,"01003010500"
"Census Tract 106",3325,"01003010600"
"Census Tract 107.01",7882,"01003010701"
"Census Tract 107.03",13166,"01003010703"
"Census Tract 107.04",5055,"01003010704"
"Census Tract 107.05",8331,"01003010705"
"Census Tract 108",6861,"01003010800"
"Census Tract 109.03",5173,"01003010903"
"Census Tract 109.04",6831,"01003010904"
"Census Tract 109.05",8011,"01003010905"
"Census Tract 109.06",4302,"01003010906"
"Census Tract 110",4305,"01003011000"
"Census Tract 111.01",8397,"01003011101"
"Census Tract 111.02",3715,"01003011102"
"Census Tract 112.01",4230,"01003011201"
"Census Tract 112.02",5065,"01003011202"
"Census Tract 113",4487,"01003011300"
"Census Tract 114.01",10632,"01003011401"
"Census Tract 114.03",9131,"01003011403"
"Census Tract 114.05",3832,"01003011405"
"Census Tract 114.06",3412,"01003011406"
"Census Tract 114.07",4799,"01003011407"
"Census Tract 114.08",433,"01003011408"
"Census Tract 115.01",5316,"01003011501"
"Census Tract 115.02",10534,"01003011502"
"Census Tract 116.01",6062,"01003011601"
"Census Tract 116.02",4895,"01003011602"
"Census Tract 9900",0,"01003990000"
"Census Tract 9501",3321,"01005950100"
"Census Tract 9502",4264,"01005950200"
"Census Tract 9503",1638,"01005950300"
"Census Tract 9504",4303,"01005950400"
"Census Tract 9505",3467,"01005950500"
"Census Tract 9506",2099,"01005950600"
"Census Tract 9507",1727,"01005950700"
"Census Tract 9508",2055,"01005950800"
"Census Tract 9509",4583,"01005950900"
"Census Tract 100.01",2732,"01007010001"
"Census Tract 100.02",6025,"01007010002"
"Census Tract 100.03",5391,"01007010003"
"Census Tract 100.04",8767,"01007010004"
"Census Tract 501.01",7858,"01009050101"
"Census Tract 501.02",7050,"01009050102"
"Census Tract 502",3789,"01009050200"
"Census Tract 503",5269,"01009050300"
"Census Tract 504",4451,"01009050400"
"Census Tract 505",7329,"01009050500"
"Census Tract 506.01",3922,"01009050601"
"Census Tract 506.02",8923,"01009050602"
"Census Tract 507",8731,"01009050700"
"Census Tract 9521",1434,"01011952100"
"Census Tract 9522",7102,"01011952200"
"Census Tract 9525",2378,"01011952500"
"Census Tract 9527",2439,"01013952700"
"Census Tract 9528",1394,"01013952800"
"Census Tract 9529",2180,"01013952900"
"Census Tract 9530",1469,"01013953000"
"Census Tract 9531",3023,"01013953100"
"Census Tract 9532",4327,"01013953200"
"Census Tract 9533",1774,"01013953300"
"Census Tract 9534",2931,"01013953400"
"Census Tract 9535",1410,"01013953500"
"Census Tract 2",3104,"01015000200"
"Census Tract 3",2951,"01015000300"
"Census Tract 4",2812,"01015000400"
"Census Tract 5",1814,"01015000500"
"Census Tract 6",2191,"01015000600"
"Census Tract 7",2715,"01015000700"
"Census Tract 8",1379,"01015000800"
"Census Tract 9",3362,"01015000900"
"Census Tract 10",5792,"01015001000"
"Census Tract 11",6565,"01015001100"
"Census Tract 12.01",3482,"01015001201"
"Census Tract 12.02",4318,"01015001202"
"Census Tract 13",2211,"01015001300"
"Census Tract 14",3731,"01015001400"
"Census Tract 15",5198,"01015001500"
"Census Tract 16",3791,"01015001600"
"Census Tract 17",6329,"01015001700"
"Census Tract 18",6919,"01015001800"
"Census Tract 20",7335,"01015002000"
"Census Tract 21.01",3992,"01015002101"
"Census Tract 21.02",3411,"01015002102"
"Census Tract 21.03",6801,"01015002103"
"Census Tract 22",3652,"01015002200"
"Census Tract 23",3843,"01015002300"
"Census Tract 24",4518,"01015002400"
"Census Tract 25.01",7069,"01015002501"
"Census Tract 25.02",4661,"01015002502"
"Census Tract 26",4615,"01015002600"
"Census Tract 9819.01",6,"01015981901"
"Census Tract 9819.02",5,"01015981902"
"Census Tract 9819.03",0,"01015981903"
"Census Tract 9538",3619,"01017953800"
"Census Tract 9539",2900,"01017953900"
"Census Tract 9540",6669,"01017954000"
"Census Tract 9542",3257,"01017954200"
"Census Tract 9543",4708,"01017954300"
"Census Tract 9544",995,"01017954400"
"Census Tract 9545",3804,"01017954500"
"Census Tract 9546",3411,"01017954600"
"Census Tract 9547",4852,"01017954700"
"Census Tract 9557.01",3332,"01019955701"
"Census Tract 9557.02",3872,"01019955702"
"Census Tract 9558",5561,"01019955800"
"Census Tract 9559",4235,"01019955900"
"Census Tract 9560",4017,"01019956000"
"Census Tract 9561",4972,"01019956100"
"Census Tract 601.01",5219,"01021060101"
"Census Tract 601.02",6303,"01021060102"
"Census Tract 602",2807,"01021060200"
"Census Tract 603",3808,"01021060300"
"Census Tract 604.01",5466,"01021060401"
"Census Tract 604.02",8776,"01021060402"
"Census Tract 605",2902,"01021060500"
"Census Tract 606",3261,"01021060600"
"Census Tract 607",5101,"01021060700"
"Census Tract 9567",3184,"01023956700"
"Census Tract 9568",4423,"01023956800"
"Census Tract 9569",3879,"01023956900"
"Census Tract 9570",2373,"01023957000"
"Census Tract 9575",1760,"01025957500"
"Census Tract 9576.01",998,"01025957601"
"Census Tract 9576.02",5515,"01025957602"
"Census Tract 9577",1329,"01025957700"
"Census Tract 9578",5488,"01025957800"
"Census Tract 9579.01",3493,"01025957901"
"Census Tract 9579.02",4230,"01025957902"
"Census Tract 9580.01",1289,"01025958001"
"Census Tract 9580.02",1731,"01025958002"
"Census Tract 9589",5324,"01027958900"
"Census Tract 9590",3224,"01027959000"
"Census Tract 9591",2904,"01027959100"
"Census Tract 9592",2480,"01027959200"
"Census Tract 9595",2684,"01029959500"
"Census Tract 9596",4202,"01029959600"
"Census Tract 9597",3419,"01029959700"
"Census Tract 9598",4667,"01029959800"
"Census Tract 101",2057,"01031010100"
"Census Tract 102",1841,"01031010200"
"Census Tract 103",4258,"01031010300"
"Census Tract 104",2152,"01031010400"
"Census Tract 105",4558,"01031010500"
"Census Tract 106",1561,"01031010600"
"Census Tract 107",2286,"01031010700"
"Census Tract 108",2840,"01031010800"
"Census Tract 109",2117,"01031010900"
"Census Tract 110",3526,"01031011000"
"Census Tract 111",2026,"01031011100"
"Census Tract 112.01",8036,"01031011201"
"Census Tract 112.02",8530,"01031011202"
"Census Tract 113",4160,"01031011300"
"Census Tract 201",3467,"01033020100"
"Census Tract 202",1957,"01033020200"
"Census Tract 203",2032,"01033020300"
"Census Tract 204",1530,"01033020400"
"Census Tract 205",5221,"01033020500"
"Census Tract 206",4128,"01033020600"
"Census Tract 207.01",6103,"01033020701"
"Census Tract 207.03",5175,"01033020703"
"Census Tract 207.04",4321,"01033020704"
"Census Tract 208.01",4487,"01033020801"
"Census Tract 208.02",3766,"01033020802"
"Census Tract 209.01",4327,"01033020901"
"Census Tract 209.02",3972,"01033020902"
"Census Tract 210",3942,"01033021000"
"Census Tract 9602",1808,"01035960200"
"Census Tract 9603",1731,"01035960300"
"Census Tract 9604",3251,"01035960400"
"Census Tract 9605",1771,"01035960500"
"Census Tract 9606",4667,"01035960600"
"Census Tract 9610",3956,"01037961000"
"Census Tract 9611",3927,"01037961100"
"Census Tract 9612",3656,"01037961200"
"Census Tract 9616",4133,"01039961600"
"Census Tract 9617",4032,"01039961700"
"Census Tract 9618",3129,"01039961800"
"Census Tract 9619",2127,"01039961900"
"Census Tract 9620",3917,"01039962000"
"Census Tract 9621",2011,"01039962100"
"Census Tract 9623",3279,"01039962300"
"Census Tract 9624",3144,"01039962400"
"Census Tract 9625",1524,"01039962500"
"Census Tract 9626",1517,"01039962600"
"Census Tract 9627",1686,"01039962700"
"Census Tract 9628",1736,"01039962800"
"Census Tract 9629",1846,"01039962900"
"Census Tract 9630",3684,"01039963000"
"Census Tract 9634",1925,"01041963400"
"Census Tract 9635",1903,"01041963500"
"Census Tract 9636",3180,"01041963600"
"Census Tract 9637",3809,"01041963700"
"Census Tract 9638",1681,"01041963800"
"Census Tract 9639",1408,"01041963900"
"Census Tract 9641",5582,"01043964100"
"Census Tract 9642",7373,"01043964200"
"Census Tract 9643",5001,"01043964300"
"Census Tract 9644",4112,"01043964400"
"Census Tract 9645",4180,"01043964500"
"Census Tract 9646",4007,"01043964600"
"Census Tract 9647",4643,"01043964700"
"Census Tract 9648",4289,"01043964800"
"Census Tract 9649",6683,"01043964900"
"Census Tract 9650",6071,"01043965000"
"Census Tract 9651",3578,"01043965100"
"Census Tract 9652",2309,"01043965200"
"Census Tract 9653",4539,"01043965300"
"Census Tract 9654.01",3310,"01043965401"
"Census Tract 9654.02",4189,"01043965402"
"Census Tract 9655",5631,"01043965500"
"Census Tract 9656",2257,"01043965600"
"Census Tract 9657",2652,"01043965700"
"Census Tract 200",4642,"01045020000"
"Census Tract 201",3823,"01045020100"
"Census Tract 202",2067,"01045020200"
"Census Tract 203",2396,"01045020300"
"Census Tract 204",2542,"01045020400"
"Census Tract 205",2049,"01045020500"
"Census Tract 207",3518,"01045020700"
"Census Tract 208.01",3361,"01045020801"
"Census Tract 208.02",4351,"01045020802"
"Census Tract 211.01",4893,"01045021101"
"Census Tract 211.02",4387,"01045021102"
"Census Tract 212",2696,"01045021200"
"Census Tract 213",4034,"01045021300"
"Census Tract 214",5492,"01045021400"
"Census Tract 9561",6753,"01047956100"
"Census Tract 9562.01",2550,"01047956201"
"Census Tract 9562.02",2327,"01047956202"
"Census Tract 9563",3791,"01047956300"
"Census Tract 9564",3150,"01047956400"
"Census Tract 9565",3811,"01047956500"
"Census Tract 9566",3811,"01047956600"
"Census Tract 9567.01",1855,"01047956701"
"Census Tract 9567.02",1602,"01047956702"
"Census Tract 9568",2789,"01047956800"
"Census Tract 9569",2804,"01047956900"
"Census Tract 9570",1274,"01047957000"
"Census Tract 9571",1345,"01047957100"
"Census Tract 9572",1754,"01047957200"
"Census Tract 9573",4204,"01047957300"
"Census Tract 9601",5937,"01049960100"
"Census Tract 9602",3530,"01049960200"
"Census Tract 9603",6908,"01049960300"
"Census Tract 9604",6483,"01049960400"
"Census Tract 9605",5373,"01049960500"
"Census Tract 9606",6393,"01049960600"
"Census Tract 9607",8628,"01049960700"
"Census Tract 9608",4498,"01049960800"
"Census Tract 9609",3809,"01049960900"
"Census Tract 9610",3914,"01049961000"
"Census Tract 9611",3258,"01049961100"
"Census Tract 9612",2107,"01049961200"
"Census Tract 9613",5967,"01049961300"
"Census Tract 9614",4304,"01049961400"
"Census Tract 301",10104,"01051030100"
"Census Tract 302",4757,"01051030200"
"Census Tract 303",2464,"01051030300"
"Census Tract 304",7712,"01051030400"
"Census Tract 305",4695,"01051030500"
"Census Tract 306",7405,"01051030600"
"Census Tract 307.01",6257,"01051030701"
"Census Tract 307.02",3678,"01051030702"
"Census Tract 308",5784,"01051030800"
"Census Tract 309.01",6234,"01051030901"
"Census Tract 309.02",3699,"01051030902"
"Census Tract 310",6516,"01051031000"
"Census Tract 311",4221,"01051031100"
"Census Tract 312",1809,"01051031200"
"Census Tract 313",3968,"01051031300"
"Census Tract 9698",5955,"01053969800"
"Census Tract 9699",4361,"01053969900"
"Census Tract 9701",4516,"01053970100"
"Census Tract 9702",1739,"01053970200"
"Census Tract 9703",3632,"01053970300"
"Census Tract 9704",5744,"01053970400"
"Census Tract 9705",4819,"01053970500"
"Census Tract 9706",4035,"01053970600"
"Census Tract 9707",3518,"01053970700"
"Census Tract 2",3660,"01055000200"
"Census Tract 3",2684,"01055000300"
"Census Tract 4",3866,"01055000400"
"Census Tract 5",1814,"01055000500"
"Census Tract 6",1964,"01055000600"
"Census Tract 7",1376,"01055000700"
"Census Tract 8",1089,"01055000800"
"Census Tract 9",2698,"01055000900"
"Census Tract 10",1286,"01055001000"
"Census Tract 11",4729,"01055001100"
"Census Tract 12",3546,"01055001200"
"Census Tract 13",2571,"01055001300"
"Census Tract 16",3524,"01055001600"
"Census Tract 17",1638,"01055001700"
"Census Tract 101",2059,"01055010100"
"Census Tract 102",5518,"01055010200"
"Census Tract 103",2918,"01055010300"
"Census Tract 104.01",3471,"01055010401"
"Census Tract 104.02",5504,"01055010402"
"Census Tract 105.01",8191,"01055010501"
"Census Tract 105.02",4988,"01055010502"
"Census Tract 106.01",5295,"01055010601"
"Census Tract 106.02",3984,"01055010602"
"Census Tract 107",3769,"01055010700"
"Census Tract 108",2953,"01055010800"
"Census Tract 109",1721,"01055010900"
"Census Tract 110.01",4613,"01055011001"
"Census Tract 110.02",4765,"01055011002"
"Census Tract 111",5302,"01055011100"
"Census Tract 112",2934,"01055011200"
"Census Tract 200",1469,"01057020000"
"Census Tract 201",3669,"01057020100"
"Census Tract 202",4499,"01057020200"
"Census Tract 203",4054,"01057020300"
"Census Tract 204",3550,"01057020400"
"Census Tract 9729",4008,"01059972900"
"Census Tract 9730",5373,"01059973000"
"Census Tract 9731",2378,"01059973100"
"Census Tract 9732",3919,"01059973200"
"Census Tract 9733",3452,"01059973300"
"Census Tract 9734",2652,"01059973400"
"Census Tract 9735",2231,"01059973500"
"Census Tract 9736",1795,"01059973600"
"Census Tract 9737",5896,"01059973700"
"Census Tract 501",5098,"01061050100"
"Census Tract 502",2323,"01061050200"
"Census Tract 503",5412,"01061050300"
"Census Tract 504",5907,"01061050400"
"Census Tract 505",4288,"01061050500"
"Census Tract 506",3762,"01061050600"
"Census Tract 600",1814,"01063060000"
"Census Tract 601",4410,"01063060100"
"Census Tract 602",2821,"01063060200"
"Census Tract 400",3534,"01065040000"
"Census Tract 401",1582,"01065040100"
"Census Tract 402",1590,"01065040200"
"Census Tract 403",2093,"01065040300"
"Census Tract 404",5399,"01065040400"
"Census Tract 405",1562,"01065040500"
"Census Tract 301",1910,"01067030100"
"Census Tract 302",2962,"01067030200"
"Census Tract 303",3093,"01067030300"
"Census Tract 304",1842,"01067030400"
"Census Tract 305",5951,"01067030500"
"Census Tract 306",1544,"01067030600"
"Census Tract 401",4949,"01069040100"
"Census Tract 402.01",9001,"01069040201"
"Census Tract 402.02",8142,"01069040202"
"Census Tract 403.01",3928,"01069040301"
"Census Tract 403.02",3589,"01069040302"
"Census Tract 404",2484,"01069040400"
"Census Tract 405",3458,"01069040500"
"Census Tract 406",2471,"01069040600"
"Census Tract 407",2662,"01069040700"
"Census Tract 408",7774,"01069040800"
"Census Tract 409",4657,"01069040900"
"Census Tract 410",5145,"01069041000"
"Census Tract 411",3849,"01069041100"
"Census Tract 412",2539,"01069041200"
"Census Tract 414",3093,"01069041400"
"Census Tract 415",4173,"01069041500"
"Census Tract 416",5377,"01069041600"
"Census Tract 417",1402,"01069041700"
"Census Tract 418",2305,"01069041800"
"Census Tract 419",7572,"01069041900"
"Census Tract 420",5683,"01069042000"
"Census Tract 421",7294,"01069042100"
"Census Tract 9501",6749,"01071950100"
"Census Tract 9502",3516,"01071950200"
"Census Tract 9503",5897,"01071950300"
"Census Tract 9504",2119,"01071950400"
"Census Tract 9505",3518,"01071950500"
"Census Tract 9506",5951,"01071950600"
"Census Tract 9507",4272,"01071950700"
"Census Tract 9508",4059,"01071950800"
"Census Tract 9509",5613,"01071950900"
"Census Tract 9510",4438,"01071951000"
"Census Tract 9511",7095,"01071951100"
"Census Tract 1",3042,"01073000100"
"Census Tract 3",2735,"01073000300"
"Census Tract 4",3338,"01073000400"
"Census Tract 5",2864,"01073000500"
"Census Tract 7",2577,"01073000700"
"Census Tract 8",3859,"01073000800"
"Census Tract 11",5355,"01073001100"
"Census Tract 12",2876,"01073001200"
"Census Tract 14",2181,"01073001400"
"Census Tract 15",3189,"01073001500"
"Census Tract 16",3390,"01073001600"
"Census Tract 19.02",1894,"01073001902"
"Census Tract 20",3885,"01073002000"
"Census Tract 21",3186,"01073002100"
"Census Tract 22",2630,"01073002200"
"Census Tract 23.03",2936,"01073002303"
"Census Tract 23.05",2952,"01073002305"
"Census Tract 23.06",3259,"01073002306"
"Census Tract 24",3629,"01073002400"
"Census Tract 27",3992,"01073002700"
"Census Tract 29",2064,"01073002900"
"Census Tract 30.01",3779,"01073003001"
"Census Tract 30.02",2203,"01073003002"
"Census Tract 31",3637,"01073003100"
"Census Tract 32",931,"01073003200"
"Census Tract 33",947,"01073003300"
"Census Tract 34",2477,"01073003400"
"Census Tract 35",2795,"01073003500"
"Census Tract 36",4683,"01073003600"
"Census Tract 37",5063,"01073003700"
"Census Tract 38.02",5409,"01073003802"
"Census Tract 38.03",4199,"01073003803"
"Census Tract 39",1783,"01073003900"
"Census Tract 40",3772,"01073004000"
"Census Tract 42",2341,"01073004200"
"Census Tract 45",5003,"01073004500"
"Census Tract 47.01",3480,"01073004701"
"Census Tract 47.02",2944,"01073004702"
"Census Tract 48",1861,"01073004800"
"Census Tract 49.01",1167,"01073004901"
"Census Tract 49.02",3146,"01073004902"
"Census Tract 50",3482,"01073005000"
"Census Tract 51.01",1507,"01073005101"
"Census Tract 51.03",2587,"01073005103"
"Census Tract 51.04",3648,"01073005104"
"Census Tract 52",3740,"01073005200"
"Census Tract 53.02",3463,"01073005302"
"Census Tract 55",2167,"01073005500"
"Census Tract 56",4578,"01073005600"
"Census Tract 57.01",2372,"01073005701"
"Census Tract 57.02",3413,"01073005702"
"Census Tract 58",4216,"01073005800"
"Census Tract 59.03",4950,"01073005903"
"Census Tract 59.05",5174,"01073005905"
"Census Tract 59.07",2096,"01073005907"
"Census Tract 59.08",4101,"01073005908"
"Census Tract 59.09",2539,"01073005909"
"Census Tract 59.10",5234,"01073005910"
"Census Tract 100.01",5289,"01073010001"
"Census Tract 100.02",4932,"01073010002"
"Census Tract 101",2007,"01073010100"
"Census Tract 102",2743,"01073010200"
"Census Tract 103.01",2685,"01073010301"
"Census Tract 103.02",4117,"01073010302"
"Census Tract 104.01",3765,"01073010401"
"Census Tract 104.02",1855,"01073010402"
"Census Tract 105",1628,"01073010500"
"Census Tract 106.02",6266,"01073010602"
"Census Tract 106.03",2437,"01073010603"
"Census Tract 107.01",2218,"01073010701"
"Census Tract 107.02",4484,"01073010702"
"Census Tract 107.03",2304,"01073010703"
"Census Tract 107.04",4892,"01073010704"
"Census Tract 107.05",3487,"01073010705"
"Census Tract 107.06",4880,"01073010706"
"Census Tract 108.01",5792,"01073010801"
"Census Tract 108.02",3448,"01073010802"
"Census Tract 108.03",6514,"01073010803"
"Census Tract 108.04",2984,"01073010804"
"Census Tract 108.05",7367,"01073010805"
"Census Tract 109",4989,"01073010900"
"Census Tract 110.01",5663,"01073011001"
"Census Tract 110.02",2171,"01073011002"
"Census Tract 111.04",7903,"01073011104"
"Census Tract 111.07",10433,"01073011107"
"Census Tract 111.08",4548,"01073011108"
"Census Tract 111.09",4123,"01073011109"
"Census Tract 111.10",5677,"01073011110"
"Census Tract 111.11",8018,"01073011111"
"Census Tract 112.05",2087,"01073011205"
"Census Tract 112.06",5686,"01073011206"
"Census Tract 112.07",5010,"01073011207"
"Census Tract 112.08",3975,"01073011208"
"Census Tract 112.09",3221,"01073011209"
"Census Tract 112.10",3820,"01073011210"
"Census Tract 113.01",3621,"01073011301"
"Census Tract 113.02",6267,"01073011302"
"Census Tract 114",6581,"01073011400"
"Census Tract 115",5902,"01073011500"
"Census Tract 116",4027,"01073011600"
"Census Tract 117.03",9111,"01073011703"
"Census Tract 117.04",3984,"01073011704"
"Census Tract 117.05",7695,"01073011705"
"Census Tract 117.06",2394,"01073011706"
"Census Tract 118.02",7512,"01073011802"
"Census Tract 118.03",4802,"01073011803"
"Census Tract 118.04",2978,"01073011804"
"Census Tract 119.01",2957,"01073011901"
"Census Tract 119.04",2337,"01073011904"
"Census Tract 120.01",4408,"01073012001"
"Census Tract 120.02",6387,"01073012002"
"Census Tract 121.03",4146,"01073012103"
"Census Tract 121.04",3024,"01073012104"
"Census Tract 122",4160,"01073012200"
"Census Tract 123.02",3829,"01073012302"
"Census Tract 123.04",2611,"01073012304"
"Census Tract 123.05",7947,"01073012305"
"Census Tract 124.01",3737,"01073012401"
"Census Tract 124.02",3077,"01073012402"
"Census Tract 124.03",3592,"01073012403"
"Census Tract 125",4454,"01073012500"
"Census Tract 126.02",2973,"01073012602"
"Census Tract 127.01",3537,"01073012701"
"Census Tract 127.03",5593,"01073012703"
"Census Tract 127.04",2131,"01073012704"
"Census Tract 128.02",2759,"01073012802"
"Census Tract 128.03",4734,"01073012803"
"Census Tract 129.05",4277,"01073012905"
"Census Tract 129.06",6671,"01073012906"
"Census Tract 129.07",4831,"01073012907"
"Census Tract 129.08",4746,"01073012908"
"Census Tract 129.10",3347,"01073012910"
"Census Tract 129.11",5757,"01073012911"
"Census Tract 129.12",5473,"01073012912"
"Census Tract 129.13",4614,"01073012913"
"Census Tract 129.14",1927,"01073012914"
"Census Tract 129.15",6083,"01073012915"
"Census Tract 130.02",1514,"01073013002"
"Census Tract 131",4508,"01073013100"
"Census Tract 132",2292,"01073013200"
"Census Tract 133",3588,"01073013300"
"Census Tract 134",4838,"01073013400"
"Census Tract 136.01",3511,"01073013601"
"Census Tract 138.01",2122,"01073013801"
"Census Tract 139.01",1704,"01073013901"
"Census Tract 139.02",2141,"01073013902"
"Census Tract 140.01",4011,"01073014001"
"Census Tract 140.02",3656,"01073014002"
"Census Tract 141.02",4918,"01073014102"
"Census Tract 141.04",3317,"01073014104"
"Census Tract 141.05",4186,"01073014105"
"Census Tract 142.03",12502,"01073014203"
"Census Tract 142.04",9787,"01073014204"
"Census Tract 143.01",2802,"01073014301"
"Census Tract 143.02",5666,"01073014302"
"Census Tract 144.04",5433,"01073014404"
"Census Tract 144.05",3929,"01073014405"
"Census Tract 144.06",5759,"01073014406"
"Census Tract 144.08",3648,"01073014408"
"Census Tract 144.09",3309,"01073014409"
"Census Tract 144.10",5180,"01073014410"
"Census Tract 144.12",4162,"01073014412"
"Census Tract 144.13",8852,"01073014413"
"Census Tract 300",4689,"01075030000"
"Census Tract 301",5713,"01075030100"
"Census Tract 302",4162,"01075030200"
"Census Tract 101",1959,"01077010100"
"Census Tract 102",1953,"01077010200"
"Census Tract 103",1513,"01077010300"
"Census Tract 104",2871,"01077010400"
"Census Tract 106",2740,"01077010600"
"Census Tract 107",2098,"01077010700"
"Census Tract 108",3797,"01077010800"
"Census Tract 109",7081,"01077010900"
"Census Tract 110",4612,"01077011000"
"Census Tract 111.01",5919,"01077011101"
"Census Tract 111.02",4465,"01077011102"
"Census Tract 112",4023,"01077011200"
"Census Tract 113",2353,"01077011300"
"Census Tract 114",6563,"01077011400"
"Census Tract 115.01",6260,"01077011501"
"Census Tract 115.02",5231,"01077011502"
"Census Tract 116.02",5073,"01077011602"
"Census Tract 116.03",4478,"01077011603"
"Census Tract 116.04",6610,"01077011604"
"Census Tract 117",4480,"01077011700"
"Census Tract 118.01",4922,"01077011801"
"Census Tract 118.02",3708,"01077011802"
"Census Tract 9791",1668,"01079979100"
"Census Tract 9792",4655,"01079979200"
"Census Tract 9793",4615,"01079979300"
"Census Tract 9794",4514,"01079979400"
"Census Tract 9795",6071,"01079979500"
"Census Tract 9796",5481,"01079979600"
"Census Tract 9797",2124,"01079979700"
"Census Tract 9798",3269,"01079979800"
"Census Tract 9799",1942,"01079979900"
"Census Tract 402",5133,"01081040200"
"Census Tract 403",2470,"01081040300"
"Census Tract 404",6960,"01081040400"
"Census Tract 405",7652,"01081040500"
"Census Tract 406.02",4152,"01081040602"
"Census Tract 406.03",988,"01081040603"
"Census Tract 406.04",5146,"01081040604"
"Census Tract 407",3977,"01081040700"
"Census Tract 408",3750,"01081040800"
"Census Tract 409.01",3264,"01081040901"
"Census Tract 409.02",5201,"01081040902"
"Census Tract 410",7236,"01081041000"
"Census Tract 411",9042,"01081041100"
"Census Tract 412",4400,"01081041200"
"Census Tract 413",3325,"01081041300"
"Census Tract 414",3565,"01081041400"
"Census Tract 416",3226,"01081041600"
"Census Tract 417",8528,"01081041700"
"Census Tract 418",6705,"01081041800"
"Census Tract 419",7623,"01081041900"
"Census Tract 420.02",6621,"01081042002"
"Census Tract 420.03",3645,"01081042003"
"Census Tract 420.04",9990,"01081042004"
"Census Tract 420.05",5181,"01081042005"
"Census Tract 420.06",1998,"01081042006"
"Census Tract 421.01",3643,"01081042101"
"Census Tract 421.02",6826,"01081042102"
"Census Tract 201.01",4257,"01083020101"
"Census Tract 201.02",6317,"01083020102"
"Census Tract 202.01",4820,"01083020201"
"Census Tract 202.02",4957,"01083020202"
"Census Tract 203",3583,"01083020300"
"Census Tract 204.01",5961,"01083020401"
"Census Tract 204.02",5404,"01083020402"
"Census Tract 205",2805,"01083020500"
